,Electricity: Distribution Losses,Electricity: Installed Capacity,Electricity: Net Consumption,Population: Density,Economics: GDP
2022-01-01,1.047506626608608,6.338211946023472,16.153115087510308,376.55492271274,102107496633.26682
2023-01-01,0.9367792371996233,6.453931730026557,15.75546233789299,358.7103216443594,99876677559.69336
2024-01-01,0.833166554811781,6.38460522650993,15.14842525926851,346.5227678902999,99512137133.3245
2025-01-01,0.734089442391328,6.316491086784377,15.217716794429151,342.9729436046262,97261150543.75952
2026-01-01,0.9650720102771105,6.436791965743595,16.807046888892557,343.11193496700423,97750268171.5835
2027-01-01,0.9057514611370954,6.34879661902818,15.47003614749249,355.03915225849727,98023709722.50983
2028-01-01,0.8560044240066425,6.328048830090223,15.114461251057705,349.8172608328365,95426860111.70096
2029-01-01,0.8023982669969869,6.311076478925354,14.557808033196359,344.6536480875484,94621110233.89124
2030-01-01,0.7361327045942647,6.225087806311779,14.550276122596372,341.2050156113041,93218130897.23863
2031-01-01,0.8355288937977388,6.264527775471083,15.219757996080034,341.0987776720758,92544942920.10265
