,Electricity: Distribution Losses,Electricity: Exports,Electricity: Imports,Electricity: Net Consumption,Population: Density,Economics: GDP
2022-01-01,3.9795551707418793,2.6552228149520274,7.231806138803279,52.862505002903085,80.90955240019628,198429791022.40714
2023-01-01,4.1135507516771925,1.0507055140614543,7.714363334736319,47.54114035826812,81.74501908558953,176138622437.4559
2024-01-01,3.297509754900765,1.6474606113387087,7.2051468914523324,48.750505461521065,81.49391923134043,196368209885.20834
2025-01-01,3.9226519568788447,2.2952624322877067,6.073583313933853,49.59424436781956,82.03148939924814,203502369097.39792
2026-01-01,4.124996923811442,2.3753072043797387,5.803246837722694,50.227536330904584,82.20535843779732,205696997248.1555
2027-01-01,3.849610661661068,1.5270356135367895,6.306310152870615,49.456632464602606,82.11541784043926,191827851841.0058
2028-01-01,4.188775672240972,1.6036869855320117,6.3167637009768995,50.84753878201878,82.39593225461218,196329058768.5744
2029-01-01,4.340809364405783,2.221523207630156,6.212802110413456,51.530329267935386,82.54799355268743,215902553954.2492
2030-01-01,4.232274429282113,2.028780964580841,5.97508809203726,51.104852504798515,82.73792905491703,216981008176.0902
2031-01-01,4.0782691101583755,1.8746866919201466,5.987567316560522,51.55897428234595,82.69358908427124,218189461389.39255
