,Electricity: Distribution Losses,Electricity: Exports,Electricity: Installed Capacity,Population: Growth Rate,Economics: GDP
2022-01-01,29.449925227688166,3.496553742902026,52.8636040938618,1.3758506953231027,241536366772.34216
2023-01-01,30.51746029018051,4.3312389767782316,55.741024372115476,1.400812829707766,278373655711.02344
2024-01-01,31.511374441417274,4.935075748420312,58.22396799940126,1.41043535242495,305077455398.31964
2025-01-01,35.03972759489098,7.343503334180907,67.33296295675606,1.4654901240427893,411488173089.6542
2026-01-01,33.70821845702737,6.779652590751818,64.28807899345351,1.4717907927107943,386445911236.77124
2027-01-01,29.71388581700449,3.989272125376673,53.90714536002286,1.4043895645174393,263176827284.12878
2028-01-01,30.753814301556876,4.6097237098223065,56.48912470414849,1.413617766250949,290625514694.17017
2029-01-01,31.982153179862344,5.146814312658093,59.31636852168087,1.4091501045093286,314470757734.7203
2030-01-01,34.27852119534847,6.808766150326463,65.34870539177656,1.4524550700391483,387871081959.9852
2031-01-01,33.00963888323027,6.283613343122444,62.46228680976571,1.4593918242622985,364537625999.4995
