,Electricity: Distribution Losses,Electricity: Exports,Electricity: Imports,Electricity: Installed Capacity,Electricity: Net Imports,Economics: GDP
2022-01-01,38.64609678104888,2.3567474627881126,2.851854761794833,69.44562270543962,0.4951072990067198,1055464298690.869
2023-01-01,40.70113093237747,2.6209956994892187,2.978511750349939,73.33344738566423,0.35751605086072014,1141535969209.0332
2024-01-01,42.21744208274012,2.612994225149484,2.87118320722451,74.93894797433023,0.25818898207502594,1183597380286.707
2025-01-01,42.35281454391189,2.3134149178800736,2.4053919188005164,72.80575093726638,0.091977000920443,1165970527898.3303
2026-01-01,40.001180410932626,2.2728409850364795,2.614679531880247,70.37356445613993,0.3418385468437678,1089797501307.116
2027-01-01,39.64583356117603,2.289059501669492,2.6441995367307807,69.75425160851111,0.35514003506128855,1080578031587.7338
2028-01-01,41.057142628892095,2.4009030972743686,2.6461812095146646,71.85996550878433,0.24527811224029564,1133462628279.338
2029-01-01,41.94249840311733,2.4719920197679306,2.68350503251397,73.50643341071566,0.2115130127460392,1165217511604.9731
2030-01-01,41.53539045280152,2.3755755533902816,2.5854770757810055,72.54791354838049,0.2099015223907242,1145729441907.7837
2031-01-01,40.193297259928364,2.3088295183202567,2.6358193232641387,70.7132528224544,0.32698980494388175,1098615741882.3556
