,Electricity: Distribution Losses,Electricity: Installed Capacity,Population: Density,Population: Growth Rate,Population: Percentage,Economics: GDP
2022-01-01,2.938580973599088,9.965698271640491,18.23539938138768,1.6394197072107815,0.06596255719746007,209085180227.3559
2023-01-01,2.941658047518343,9.97182130532331,18.211857674193013,1.6602738326786293,0.06590901067521567,210516202454.5642
2024-01-01,2.9414281686790984,9.953350564448728,18.116066842641466,1.6593933700783825,0.06581260161172735,209610386250.66544
2025-01-01,2.947361138721775,9.956018293202126,18.06287694450043,1.6798513072147196,0.06566492385810925,209613385081.16266
2026-01-01,2.9677709980878157,9.885718347677175,17.814536047610222,1.7025522755847367,0.06553196291279838,200388145260.62048
2027-01-01,2.9469748293588096,10.04642420348895,18.05363210302538,1.5932764885663773,0.06554019086527223,210141673051.3571
2028-01-01,2.952181495360431,10.071786917341138,18.094834626918434,1.608827781352618,0.06554656667612609,211972869502.0026
2029-01-01,2.954953877974753,10.07295165387755,18.048691208530876,1.6043674845803833,0.06551225912337422,211132763608.37372
2030-01-01,2.955188835164363,10.088967691802177,18.086031414464287,1.6226348230774241,0.06546813222783311,213216904191.10532
2031-01-01,2.9666524217876207,10.059183257922161,17.95089180936833,1.633550595152032,0.06537226703842008,208800187464.32867
