,Electricity: Distribution Losses,Electricity: Imports,Electricity: Net Consumption,Population: Growth Rate,Economics: GDP
2022-01-01,1.8274061743409873,0.2299183509387145,6.476895716162431,2.783497361787567,41480346131.581764
2023-01-01,1.7320273503122952,0.16138162928031993,6.42397518528547,2.761805004942946,40847526645.87076
2024-01-01,1.774784992974689,0.2299996297283872,6.405610182999553,2.792075431968579,41152691966.207565
2025-01-01,2.007898021378715,0.2448594850866703,6.110464523997514,2.914243752861563,39927521978.34498
2026-01-01,1.8951161866909516,0.33443064690553154,5.6429316945612396,2.943608324756023,36278614579.51605
2027-01-01,1.9172923860915798,0.2299840852301817,6.616739982256107,2.828608893803286,42154745078.1327
2028-01-01,1.8704538323515418,0.20294720092003843,6.5405529848478565,2.8142153318293084,41504773812.11372
2029-01-01,1.8548358104305187,0.20131710086665633,6.534648265326435,2.810752799608402,41377362917.12323
2030-01-01,2.0452877022316396,0.2920634553458217,6.418580007896552,2.884030649624495,41759395574.794495
2031-01-01,1.941025548145759,0.2985735497289397,5.975127970983656,2.9132309984908575,38467373935.77418
