,Electricity: Distribution Losses,Electricity: Exports,Electricity: Imports,Electricity: Installed Capacity,Population: Growth Rate,Economics: GDP
2022-01-01,0.8154489088482744,0.12085489420228822,0.7302065436977094,2.5843164325747403,0.3348439163088488,24736566452.885674
2023-01-01,0.6932218174534769,0.11842210630848907,1.7132470633775212,2.7868057998326137,0.8321977400639782,29647251909.971573
2024-01-01,0.7004742376284652,0.11571953553063886,1.721009049579746,3.0952093655410153,1.0602470560595831,28064662965.61794
2025-01-01,0.7369258621241089,0.17083186797760297,2.029998587369799,3.2645701861456073,1.517855267156989,28429545961.53791
2026-01-01,0.7012298793300326,0.23499355532039548,1.927604551080095,3.318546791667096,1.9867499120222614,27699270655.06388
2027-01-01,0.6372911391209104,0.2997174693545696,2.1738863262428625,3.267359529848436,2.344516629115954,27174766080.200954
2028-01-01,0.6795450579774595,0.34567446837210547,2.6799656084757366,3.5641597739356037,2.2136474220175404,27271529754.12074
2029-01-01,0.7015143237321566,0.32349893647542716,2.8022612260863413,3.735882871195562,2.5080760529808694,26885084679.47567
2030-01-01,0.611693558394844,0.3006357743979654,3.101884925459407,3.7760742430938627,2.4768532012200706,27574457541.370335
2031-01-01,0.6074266420094607,0.30172905254339194,2.9782368279542437,3.8623732672202546,2.689587397707572,25756169127.906387
