,Electricity: Distribution Losses,Electricity: Exports,Electricity: Imports,Electricity: Installed Capacity,Electricity: Net Consumption,Electricity: Net Imports,Population: Growth Rate,Population: Percentage,Economics: GDP
2022-01-01,2.0023373546796526,1.270250612579682,0.3064906238923715,7.362429249150551,20.368158133743343,-0.9637599886873105,0.7942176252995722,0.13605946129838317,41879647290.250824
2023-01-01,2.003241118784324,1.2462622827857732,0.24225665905535054,7.536297629316471,20.716093571873593,-1.0040056237304225,0.8037406303992776,0.13596251567254963,45867750412.0045
2024-01-01,2.0425383932567738,1.250040410807335,0.23770240333441617,7.487176837353763,20.55009493863652,-1.0123380074729191,0.8016692038042408,0.13595571510227952,45946655692.89491
2025-01-01,1.9882169347282603,1.2774063768890653,0.3864658516114792,7.277367651602607,20.330917690634905,-0.8909405252775863,0.7925927382533937,0.13605500094421855,40269294968.756714
2026-01-01,1.9752374010917029,1.2735117744410904,0.4673740518358066,7.178428884861844,20.27020931392984,-0.8061377226052839,0.7829244742908132,0.13610913220425638,37174560123.81358
2027-01-01,1.8814526611284452,1.3009914390520387,0.3718597535044289,7.397539942404725,20.726132314058056,-0.9291316855476099,0.7641861026654164,0.13599592470750443,39843672002.03007
2028-01-01,1.8211773120793384,1.3220128483026685,0.2644426581521724,7.5725925393196984,21.018725477898794,-1.0575701901504961,0.7504186247551917,0.13586883858560628,43269620500.371124
2029-01-01,1.8022949470627636,1.338101309023725,0.24943506917039882,7.596463841229199,21.081182557879156,-1.0886662398533262,0.7403982186953628,0.13581389934240587,43659550197.75699
2030-01-01,1.7896352242632931,1.3653438625055894,0.370287576132563,7.415907893288624,20.87568803514336,-0.9950562863730268,0.7278964533516177,0.13586030510966038,39217681775.7361
2031-01-01,1.7752379146817352,1.371069349919368,0.45247099633147053,7.315001627359607,20.796947759782768,-0.9185983535878979,0.7228155063574041,0.13591218275601719,36253821568.16609
