,Electricity: Distribution Losses,Electricity: Exports,Electricity: Imports,Electricity: Installed Capacity,Electricity: Net Imports,Population: Growth Rate,Economics: GDP
2022-01-01,2.0682179668706073,1.3703790228217054,0.06743298498337097,3.1162802784836905,-1.302946037838334,2.867596759252372,18287656564.279854
2023-01-01,1.7346579603988554,1.2892488481089754,0.1567773986285327,2.86581950240787,-1.1324714494804424,2.941889550385591,17758563915.145298
2024-01-01,1.4818756895356737,1.138754530944151,0.39793024973810165,3.032594569814133,-0.7408242812060489,3.082294738079856,25434884079.674187
2025-01-01,1.7375967246601323,1.367929710396591,-0.47749394035897397,2.8095900312715587,-1.845423650755564,3.0581323126054056,25544239880.0431
2026-01-01,0.7289995941022974,1.089151094345769,1.5180485901060154,2.7754594194932185,0.42889749576024816,3.19012218796777,22839262005.379707
2027-01-01,1.0699327164751113,1.3626868057638835,0.49406973867965837,2.7801709345607613,-0.8686170670842255,2.9170637396805987,18636790057.498154
2028-01-01,1.6416570294550872,1.2336477316885668,-0.3147825474121324,2.4090583698358183,-1.5484302791006987,2.8913204701784903,13019734012.520025
2029-01-01,0.6858449007106324,0.9214717891931182,1.473100546318292,2.6020409593936797,0.5516287571251727,3.046635874709159,15100350838.709642
2030-01-01,1.6120069004149358,1.4361813991432437,-0.4851461449975282,2.7621166606183603,-1.9213275441407722,2.9341768952038842,17177571543.479757
2031-01-01,1.4310809583669752,1.0531325465320462,0.3882061364283796,2.500199465512056,-0.6649264101036644,3.0924309401099284,16182768457.219666
