,Electricity: Distribution Losses,Electricity: Imports,Population: Growth Rate,Economics: GDP
1992-01-01,0.0133,0.0,2.841997323931748,3356692517.86417
1993-01-01,0.01435,0.0,2.841997323931748,3199536227.94818
1994-01-01,0.01442,0.0,2.763459868423251,1895290623.44033
1995-01-01,0.01624,0.0,2.6891463872095427,2379518099.2266
1996-01-01,0.01841,0.0,2.618725037473376,2586550747.09844
1997-01-01,0.01974,0.0,2.5518978495563176,2447668984.53131
1998-01-01,0.02184,0.0,2.48839651246624,2804902248.28537
1999-01-01,0.02436,0.0,2.4279787733468727,3389566982.51573
2000-01-01,0.049,0.0,2.3704253490342704,2968369991.46729
2001-01-01,0.064,0.0667,3.5630706945988155,3190371050.45524
2002-01-01,0.057,0.1105,3.440483823723332,3622350203.94595
2003-01-01,0.069,0.0692,3.3260515579049006,4740768355.22974
2004-01-01,0.0764,0.0962,3.2189864102577896,5451688868.42974
2005-01-01,0.082,0.1253,3.1185991281327636,6146352742.03313
2006-01-01,0.0849,0.1393,3.0242838387065993,6547420133.69942
2007-01-01,0.103,0.124,2.935505810883762,7625723123.54939
2008-01-01,0.095,0.1357,2.851791311228362,9451436358.96861
2009-01-01,0.102,0.1446,2.7727191474953377,9450697335.53565
2010-01-01,0.1031,0.3845,2.697913581050657,10109618964.2848
2011-01-01,0.1148,0.4952,3.2278947895819607,12080296644.0643
2012-01-01,0.1354,0.5149,3.1269598165899324,12561016091.4673
2013-01-01,0.1578,0.5316,3.0321458347566637,13444301139.1384
2014-01-01,0.1745,0.488382,2.9429124378518257,13943016923.9017
2015-01-01,0.1832,0.443,2.858781015767847,11832159275.603
2016-01-01,0.1832,0.6297,2.9966921178998613,12833363370.174
2017-01-01,0.2235,0.6454,2.9095032629490483,14106956830.0857
2018-01-01,0.219,0.8374,2.8272444921970097,15890065019.7634
2019-01-01,0.1614,1.087266,2.749509146295924,16178162030.0694
2020-01-01,0.18,1.0,2.675934093642358,17933606353.1775
2021-01-01,0.18,1.061478571,2.6742461630843746,17933606353.1775
