,Electricity: Distribution Losses,Electricity: Exports,Electricity: Imports,Electricity: Net Generation,Population: Growth Rate,Economics: GDP
2022-01-01,1.6888609985382834,0.22406463482569094,12.213201342317388,34.73444968900063,0.30231458303414466,346560999003.8851
2023-01-01,1.6357581562292038,0.10362026784006129,12.459391090740013,35.158584482855176,0.2434149318884945,363826623153.1394
2024-01-01,1.6496279764886843,-0.05959960868524772,12.399664104861474,34.66965462315451,0.25884510895748897,359892427830.9403
2025-01-01,1.6853163807896148,0.39938679839810765,12.174406507155659,34.950177594948364,0.3102714398246551,342544644037.7958
2026-01-01,1.7582881955460774,0.6549012409672725,11.88349280858082,34.706243990899075,0.37958683462418696,323051350763.28186
2027-01-01,1.6831709245424809,0.2510776638777312,12.22219570450812,34.80292823569841,0.29984801321351223,346798535949.2128
2028-01-01,1.64630854421496,-0.10640865847284431,12.423094806605143,34.64345923650151,0.25350457774300095,361734623906.84485
2029-01-01,1.652377479527892,-0.014333863998346574,12.381059046507744,34.70713175380379,0.2630432945519531,358434141972.41364
2030-01-01,1.7022252153358197,0.2636684897620607,12.15431381469266,34.65665703957515,0.3163648299377593,342487180110.3691
2031-01-01,1.7513170524454624,0.6230192354522923,11.91356099777326,34.721996237043534,0.37247443330660807,325126584178.24585
