,Electricity: Distribution Losses,Electricity: Exports,Electricity: Installed Capacity,Electricity: Net Imports,Population: Growth Rate,Economics: GDP
2022-01-01,2.732109512144402,11.713882850319706,2.7340167782760645,-3.5538443443265875,2.9004974010623252,13777980935.136559
2023-01-01,2.740798763203704,12.195822424445758,2.7611908174376874,-3.7771847213083625,2.8969653450961736,14743434853.496881
2024-01-01,2.660566170506052,9.346189283703463,2.6922534539690477,-0.4669803882530985,3.177523282051226,15762495808.512344
2025-01-01,2.6176178657029667,7.522039462287649,2.669248839122956,1.329514753735583,3.2375180468750706,14227139539.383797
2026-01-01,2.4679882564948246,8.924299146239491,2.648288842556976,-0.5864386403502442,3.2066654858702046,12314438543.0329
2027-01-01,2.7196514274773924,10.320136084951764,2.72960553555576,-2.5057141509817455,3.04807095053477,13688088720.551737
2028-01-01,2.8597473045988058,10.979594998549787,2.8159603918668124,-3.8319092424311263,2.877585057237166,15109818112.477552
2029-01-01,2.570942832634343,6.6722944797100325,2.7826532080615083,-0.0804869911358499,3.0274826761339555,17422422285.900745
2030-01-01,2.4122963463682163,2.72086669805055,2.737397750066323,3.575544828382567,3.0994007529311576,16789473471.309757
2031-01-01,2.1957006686982443,2.741939361736221,2.703443517891737,2.507213043462257,3.1834054736351742,14623075155.586977
