,Electricity: Distribution Losses,Electricity: Exports,Electricity: Imports,Economics: GDP
2022-01-01,5.663459740409399,0.6046686168926744,3.2527026434991546,113864631061.10889
2023-01-01,5.967472162213358,0.6537775660303968,3.3132245142846366,118376052873.80502
2024-01-01,5.781892328919312,0.57898074285366,4.135373584613617,118226881179.10358
2025-01-01,5.225472833254147,0.4638933082929118,4.538443416524489,111640635798.45189
2026-01-01,4.848587281026383,0.42233320836700644,4.170964508304257,105447417631.11104
2027-01-01,5.517431712901464,0.5494445464529948,3.914374956953896,114102050435.7947
2028-01-01,5.774835424271299,0.5859398008115024,4.063061615973099,118217189265.02148
2029-01-01,5.77369968197161,0.5719049363571695,4.256259273167562,118521821210.49178
2030-01-01,5.373670649214016,0.5083706476316878,4.1841845515380065,112712714235.09778
2031-01-01,5.005540915122564,0.4615851280135507,3.923169503770236,106884040983.0953
