,Electricity: Distribution Losses,Electricity: Imports,Population: Growth Rate,Economics: GDP
2022-01-01,0.18409792038057826,1.086983568054119,2.6312223281491747,18085886455.598957
2023-01-01,0.14468051160314285,1.235475827798319,2.658208968088362,8623865060.051096
2024-01-01,0.2128663656630303,1.05201539296419,2.4197750695202003,7914415088.46848
2025-01-01,0.14063460552739163,1.0697327671752739,3.0828842960162137,5137528554.040033
2026-01-01,0.040816036573910766,1.315297800266932,2.413363568342422,6933556928.123308
2027-01-01,0.06874645304737263,0.9298843961392491,3.2866815687632096,-3798563342.5148354
2028-01-01,0.05568441930050664,0.6540907693103712,1.8519635391841183,-3217109827.2746105
2029-01-01,0.0007987429388370548,0.7998234655520032,3.6842217672244333,-3880973439.459896
2030-01-01,-0.08351245061271786,0.8705643887145273,2.809898877956262,-6867458030.945583
2031-01-01,-0.05819353734641469,0.2385889892625978,3.024530256718103,-14039030780.690083
