,Electricity: Distribution Losses,Electricity: Exports,Electricity: Installed Capacity,Electricity: Net Imports,Population: Growth Rate,Economics: GDP
2022-01-01,0.49184430518326333,0.41220994936861877,6.660812896118093,0.16498221166311,0.6627971660147383,34574989603.69055
2023-01-01,0.6485585874713665,0.43868501912955715,7.12485261178565,0.18587074478430388,0.7937617007337106,36176188487.46082
2024-01-01,0.6115370775543962,0.5195660923515414,6.599330614317717,0.2630951574595346,0.727793500292957,37618715870.16463
2025-01-01,0.6525828263285729,0.5035666946171545,6.457664763542827,0.2620916483778992,0.3833454027972687,36733513732.14688
2026-01-01,0.4923218557840794,0.42539120346874965,5.7461764829089805,0.27474428394294786,-0.6751366807863004,33434430762.652035
2027-01-01,0.9400808302180197,0.462342587929238,5.57613498444874,0.2729251017764034,-0.2362399116160563,32732198681.205086
2028-01-01,0.8989391598403635,0.36109804066777673,5.76819222760578,0.30640258454758185,0.10029570426102863,30982656060.797264
2029-01-01,0.9526750202811376,0.3965127443549771,5.96821849387802,0.2775223830086005,0.296731234200835,31327581524.89098
2030-01-01,0.8542961024618598,0.3731171377857602,5.741997389928337,0.3032102617890804,-0.16226411252662487,30880668374.087326
2031-01-01,0.5457342337778769,0.33679519710223005,5.113216342550374,0.2632495531087484,-0.7467501841002733,29089513373.051178
