,Electricity: Distribution Losses,Electricity: Installed Capacity,Electricity: Net Consumption,Population: Percentage,Economics: GDP
2022-01-01,0.15109133005853026,0.5771640005691737,1.9154514834103216,0.005343948037262075,9878331998.28769
2023-01-01,0.11387491294363578,0.5243506564261948,1.730709010292971,0.00536631952221274,8543904031.08859
2024-01-01,0.07706939576220043,0.4510198973023868,1.8650771054779804,0.005395875265803387,11264719954.297224
2025-01-01,0.07669942258674829,0.4876091547753081,1.8509689442118118,0.005413543024987679,11197747520.597973
2026-01-01,0.07343062104891342,0.4971275955828361,1.6260419835159068,0.005440310705754088,7071702279.939925
2027-01-01,0.15396247762912538,0.4763355063021686,1.7066536288554144,0.005351403595540658,8309277646.033692
2028-01-01,0.10521016521615004,0.44703474188655323,1.7093504028745143,0.005368584501632137,8071653358.804546
2029-01-01,0.12174543648842398,0.3601708843968201,1.7176538447414398,0.005412755986351418,8349249287.141903
2030-01-01,0.08716066520264207,0.43471444669607756,1.6277588437153034,0.00541711248490016,7838473824.968563
2031-01-01,0.04631379141211944,0.42697213190572025,1.571661258042253,0.005447376656376634,5627589950.194779
