,Electricity: Distribution Losses,Electricity: Installed Capacity,Population: Growth Rate,Economics: GDP
2022-01-01,0.06310124177447517,0.19729404780640913,1.9702852380142213,1696906757.3424845
2023-01-01,0.07357012279861386,0.21920818452749757,1.8618859664242187,1908421658.0205083
2024-01-01,0.06880071503382298,0.22430257225519762,1.7644726163500237,1889502672.038845
2025-01-01,0.0668064380378774,0.22140743822246445,1.7641143301606548,1851854527.6030746
2026-01-01,0.06785104244098722,0.20346768363739967,1.9397282124249986,1767544030.4333327
2027-01-01,0.06374569531602567,0.19947148637713596,1.941945357976377,1715336661.979804
2028-01-01,0.07182583034362323,0.22229130897918814,1.821356257446677,1899157263.337807
2029-01-01,0.06927618850661472,0.22352063440786968,1.7781639095765007,1883904903.5197911
2030-01-01,0.06771207042012482,0.22023850846933188,1.7844002524590357,1850233759.0658197
2031-01-01,0.06656720284274434,0.20574733331957623,1.9077227405203705,1766835169.9976537
