,Electricity: Distribution Losses,Electricity: Exports,Electricity: Imports,Population: Growth Rate,Economics: GDP
2022-01-01,0.8679265689379067,0.012571317262993072,0.1490469645318522,2.8149636344330906,9795106518.746923
2023-01-01,1.0035238200678351,0.015930356990004897,0.1085734755977793,2.705929698179489,11616084562.585768
2024-01-01,0.995387809569442,0.01566278348940224,0.1107105007983907,2.711187181126313,12500999423.958172
2025-01-01,0.8772552142609007,0.012757710563530856,0.14606523013605577,2.806592769056871,10593402832.754217
2026-01-01,0.830215335581819,0.011591506650063609,0.160101763079895,2.8443996315976534,9975594787.070677
2027-01-01,0.7923866184964012,0.010636311688310496,0.17131312584632835,2.874465675327701,9740042151.894474
2028-01-01,0.8821965142862299,0.012853515787766698,0.14447291855816158,2.8021018718114568,11060305102.788786
2029-01-01,0.923898518890258,0.013880622967878153,0.1319993451548533,2.7684536092341827,11709810857.495253
2030-01-01,0.8351839363625567,0.01169715324547798,0.15854175652810815,2.8400651081645347,10304863699.803411
2031-01-01,0.8081243462238051,0.011033366065154008,0.1666474448198253,2.8619509708888713,9843029738.689594
