,Electricity: Distribution Losses,Electricity: Net Consumption,Economics: GDP
2022-01-01,0.03913408188835757,0.17265206029833655,1006027377.8800771
2023-01-01,0.043916111187678235,0.18326313387499693,1094718784.125308
2024-01-01,0.04329208139368462,0.18834658905348525,1097768696.2873418
2025-01-01,0.04338847840271208,0.18790072634202726,1093186103.485604
2026-01-01,0.04061275258979952,0.18760653805044375,1079678598.3600507
2027-01-01,0.04016250567300059,0.1843960851462732,1066797751.9720138
2028-01-01,0.042641939729253786,0.18668584748291422,1098688784.797472
2029-01-01,0.04333237861245672,0.1900499283066014,1113603434.7284455
2030-01-01,0.04344548483113406,0.19096923147984252,1116231174.4976838
2031-01-01,0.042642978755914336,0.19121899180445592,1114121296.0699763
