,Electricity: Distribution Losses,Electricity: Imports,Population: Density,Economics: GDP
2022-01-01,1.3705357791320916,3.817783712809204,91.47792778575887,26100135259.82013
2023-01-01,0.8147230143884384,4.513651454034649,90.74388740731327,23272489364.438072
2024-01-01,1.401233346742784,2.413560956373626,90.23478309208326,25916570054.288635
2025-01-01,0.6916790201752168,2.7417661388877876,89.78432974633407,18213090107.806705
2026-01-01,1.353828560963417,1.7101476092877803,92.296211271038,23312762197.187748
2027-01-01,0.7135117036851121,4.635305990718348,92.73216380330584,21311974909.128597
2028-01-01,1.4329669311442004,3.8789211490782476,92.45708629263171,25669522911.972343
2029-01-01,0.5744488065932147,3.8196539606060385,92.96899885364442,20639200660.358273
2030-01-01,1.4976114034145753,1.8790041303669933,93.15207103846254,22151490817.886204
2031-01-01,0.43469544693933826,3.310313825576022,93.85345086714672,18239865953.006706
