,Electricity: Distribution Losses,Electricity: Exports,Electricity: Installed Capacity,Electricity: Net Consumption,Electricity: Net Generation,Electricity: Net Imports,Population: Density,Population: Growth Rate,Population: Percentage,Economics: GDP
2022-01-01,2.7442103545836996,0.37390225002476063,4.25211609925679,12.08568545895968,14.856017591063686,-0.026121776603964086,31.444506356890503,1.60695453507165,0.0847668300162354,7475482915.837649
2023-01-01,2.5018139012104896,0.22683726175307095,4.31638495327994,12.6897520284553,15.180200543380888,0.011365387224210766,32.77356255675424,1.6969310086784384,0.08480630290162339,8796187490.119122
2024-01-01,2.5222191350108787,0.17114788038242268,4.506112567397523,13.67195377721049,15.951065775414031,0.2431071383404697,33.13909597465973,1.7725593133791624,0.08666140979241486,8105106864.256362
2025-01-01,2.6868289903452944,0.4691057573270667,4.518874177869736,13.321761561227731,16.137530598084492,-0.12894004492018962,33.04082521647143,1.6981329137918335,0.08658062518278627,7746002245.776754
2026-01-01,2.876877056891194,0.48549448179074595,4.674773462923669,13.475380179954993,16.2815180640623,0.07073917485914438,32.46924966489176,1.626557191912108,0.08792843274671623,6219955227.931973
2027-01-01,2.8353791662795356,0.49343873008256045,4.699933328472753,13.083089925213933,15.845871245351969,0.07259784816247716,32.33478926568681,1.5573357418179756,0.08759500641194903,6253911749.916565
2028-01-01,2.521756881116757,0.00956995532306748,4.90841864885255,13.89921068192109,15.601046760192318,0.8199208052657008,32.82256353043719,1.596631901718397,0.08882272430430924,6258914615.595136
2029-01-01,2.7066630799296494,0.2732194217339172,4.865275762560461,13.657792883878663,15.946340853667557,0.41811511250071187,32.8343422130023,1.5722501884873634,0.08855620155381676,6204748197.188083
2030-01-01,2.754578486738614,0.2436305171801778,4.971809978996025,13.897141191384172,16.042674156303555,0.6090455245007329,32.57014491230841,1.5551293090970801,0.08950531911585076,5381338089.538836
2031-01-01,3.141802151656351,0.7639682045795604,4.859773613016017,13.044726208094074,16.22622253432912,-0.03969417204953163,31.683533033139618,1.4569081822977519,0.08894796016009555,4536109551.642187
