,Electricity: Distribution Losses,Electricity: Exports,Electricity: Imports,Population: Growth Rate,Economics: GDP
1992-01-01,0.347,0.0,0.035,2.0318181005406712,1792800000.0
1993-01-01,0.387,0.048,0.0,2.0318181005406712,1756454248.36601
1994-01-01,0.454,0.013,0.0,1.991357341627068,3863185119.04762
1995-01-01,0.497,0.0,0.0,1.952476556378086,4140470000.0
1996-01-01,0.532,0.01,0.02,1.915084971279141,4308351902.78601
1997-01-01,0.504,0.0,0.162,1.8790986357111252,4389965590.96538
1998-01-01,0.596,0.0,0.043,1.8444397927294145,4635267224.84195
1999-01-01,0.557,0.022,0.08,1.8110363182154856,4855717874.68247
2000-01-01,0.716,0.001,0.114,1.7788212198872044,5107329007.0922
2001-01-01,0.769,0.0,0.017,1.42978773904391,5323146565.70315
2002-01-01,0.79,0.007,0.016,1.409632979536971,5224213017.54386
2003-01-01,0.819,0.021,0.012,1.390038537878741,5322454925.84746
2004-01-01,0.817,0.022,0.023,1.3709813685093413,5795568204.64532
2005-01-01,0.825,0.008,0.025,1.3524396725779686,6321335612.22233
2006-01-01,0.845,0.009,0.05332,1.334392814763083,6763418645.81377
2007-01-01,0.845,0.0,0.06395,1.3168212466643203,7423421958.4248
2008-01-01,0.852,3e-05,0.028,1.2997064361685724,8496946608.23151
2009-01-01,0.829,0.002,0.002,1.2830308022536727,8298679908.55232
2010-01-01,0.939,0.043,0.01,1.2667776547471994,8758592272.10579
2011-01-01,0.947,0.041,0.01,1.512582367983242,9774262741.75783
2012-01-01,0.951,0.003,0.02,1.4900442218090058,10532006608.1447
2013-01-01,0.977,0.01623,0.05197,1.468167871276608,10982979274.1922
2014-01-01,1.049,0.049,0.022,1.4469245893343845,11880434070.7811
2015-01-01,1.083,0.022,0.034,1.4262872878519044,12756706583.3113
2016-01-01,1.051,0.018,0.205,1.4520596488297932,13286083644.8761
2017-01-01,0.99581,0.001,0.327,1.431276658015614,13785876629.3189
2018-01-01,0.977887,0.0,0.201,1.4110801965367177,13025239912.2751
2019-01-01,1.088589,0.000151,0.434,1.3914457806799825,12611218627.0632
2020-01-01,1.046315,0.0,1.071,1.372350270741612,12621505382.6062
2021-01-01,1.049223158,0.0,1.355061335,1.4246595010727667,12621505382.6062
