,Electricity: Distribution Losses,Electricity: Imports,Economics: GDP
1992-01-01,2.371,0.0,31708874594.1645
1993-01-01,1.792,0.0,33166519417.9894
1994-01-01,1.771,0.0,33768660882.793
1995-01-01,1.796,0.0,37939748768.6567
1996-01-01,1.834,0.0,46438484107.5795
1997-01-01,1.795,0.0,48244309133.4895
1998-01-01,1.986,0.0,49984559471.3656
1999-01-01,2.286,0.0,51270569883.5275
2000-01-01,2.417,0.0,53369787318.6245
2001-01-01,2.413,0.0,53991289844.3291
2002-01-01,2.372,0.0,54724081490.5102
2003-01-01,2.271,0.0,60158929188.2556
2004-01-01,2.038,0.0,65108544250.0425
2005-01-01,1.966,0.0,69442943089.4309
2006-01-01,1.778,0.0,71819083683.7403
2007-01-01,1.602,0.0,79611888213.148
2008-01-01,4.293,0.0,91631278239.3237
2009-01-01,4.214,0.0,102477791472.39
2010-01-01,4.325,0.0,115279077465.226
2011-01-01,4.528,0.0,128637938711.386
2012-01-01,5.79,0.0,133355749482.478
2013-01-01,7.031,0.0,149990451022.29
2014-01-01,6.819,2.265,172885454931.453
2015-01-01,10.714,3.38,195078678697.23
2016-01-01,10.521,3.822,221415188000.475
2017-01-01,11.412782,4.656,249710922462.309
2018-01-01,12.76803,4.783,274038973437.275
2019-01-01,9.534778,6.786,302571320445.75
2020-01-01,9.423836,6.671,323056957972.312
2021-01-01,9.44584131,6.555002879,323056957972.312
