,Electricity: Distribution Losses,Electricity: Exports,Electricity: Imports,Electricity: Installed Capacity,Electricity: Net Consumption,Electricity: Net Imports,Population: Growth Rate,Economics: GDP
2022-01-01,0.9416405654674727,0.9574920441106014,2.1362652059657994,4.462272553911287,11.719508692496655,1.1787731618551969,-0.4855888741917691,15499717608.034199
2023-01-01,1.0930466179740126,1.0397493379692624,2.207033006835842,4.431267995712049,12.251892332342154,1.1672836688665775,-0.8541114898867131,14814792200.780361
2024-01-01,1.1025332383009552,1.1590981018835735,2.3315433371501304,4.499375723173219,12.737280167358461,1.1724452352665553,-0.8821502321094201,14508432229.826542
2025-01-01,1.215035478107007,1.1745776583308551,2.2926414595242504,4.5972950330432925,12.573396270633545,1.1180638011933932,-1.1723732455112472,12742756280.463108
2026-01-01,1.2270672892419725,1.3210125200839427,1.6818941453257015,4.621491465942308,10.869471767173486,0.36088162524175826,-1.115473858061551,13578488283.225676
2027-01-01,1.0475796435761786,0.7357849741546597,2.025030855112431,4.530520211465191,11.512596049115356,1.2892458809577718,-1.090594131681641,12030053224.838184
2028-01-01,1.1409751185204193,0.741104658087776,1.839507613809357,4.536513374392626,11.09507036447096,1.0984029557215804,-1.3878581556918672,11425275620.139305
2029-01-01,1.1389351468608315,0.6245139751464823,1.8444431670606614,4.634121530001982,10.908446982656297,1.2199291919141797,-1.2333410795143884,11235885189.878727
2030-01-01,1.2174054782984276,0.6393226919550647,1.6954627817050039,4.7432445390778915,10.22513082201851,1.0561400897499398,-1.5092779471778512,10354392972.09368
2031-01-01,1.1581165578594665,0.8191079468732452,1.2686940554891686,4.4651662234703045,9.285900040203416,0.4495861086159241,-1.2705120140023016,11080302159.068308
