,Electricity: Distribution Losses,Electricity: Exports,Electricity: Installed Capacity,Electricity: Net Consumption,Electricity: Net Generation,Electricity: Net Imports,Population: Growth Rate,Economics: GDP
2022-01-01,5.321874632319115,4.7414984960070266,14.886745895877496,52.156080888022714,56.45428291567514,1.0236726048678932,1.6475944396761408,57919503357.4323
2023-01-01,5.2894399835903005,4.587151199075887,14.948080996924062,52.355761341509,56.58788480488009,1.057316520423958,1.6411094977683875,58598899172.92694
2024-01-01,5.6078945163793925,5.645705007501932,14.429619616045352,49.98590084441655,54.68485738658094,0.9089379743776966,1.618643583054632,53398546681.05101
2025-01-01,6.869285459062872,6.6450477041447575,13.807926800340228,47.3471677117517,54.11067076777168,0.10578240313821546,1.6267839244439208,59166025400.15081
2026-01-01,7.364543816717999,5.1690573370730855,14.307373529986902,50.1337208169257,57.813784484226154,-0.3155198504832979,1.7189773238800155,78177845965.01154
2027-01-01,5.753089108636394,5.834473452868932,14.356842611742985,50.084001037493124,55.10179421285675,0.7352959334287593,1.6664974630051086,54705764351.387665
2028-01-01,5.897418345464269,5.722791041381974,14.369052491112917,49.9166839237924,55.13296324273446,0.6811390266759486,1.6432773646990808,56432352191.689674
2029-01-01,6.163061433059726,6.484124627502602,14.002187560954349,48.11440218869781,53.71567820294832,0.5617854189360618,1.6131265051607275,52622927010.85274
2030-01-01,6.740165532548254,6.655012885700958,13.814264874702303,47.31772403588392,53.85266099106627,0.20522857746321121,1.618732428820058,57571606334.92334
2031-01-01,6.803301098198142,5.008585254862547,14.475315132720999,50.643444527807766,57.37605103839174,0.07069458774103751,1.68996043605943,72709496715.2709
