,Electricity: Distribution Losses,Electricity: Imports,Electricity: Installed Capacity,Electricity: Net Imports,Population: Growth Rate,Population: Percentage,Economics: GDP
2022-01-01,22.49311152803283,10.285221574906236,50.63752619745312,-3.5683015892194376,1.1205552180364997,0.7751768032561963,345051890797.6427
2023-01-01,22.28030265423014,9.976595120580468,51.70420180224537,-4.011179458509948,1.2142863412934037,0.7759742448615006,357309974268.4085
2024-01-01,22.242605197624346,10.171817534713337,52.48081384353786,-4.063991103912574,1.2061342866331974,0.7761274273250887,363532071502.59985
2025-01-01,22.020520856525483,9.782655784881356,51.90549174104147,-4.275070965798921,1.1913792001452377,0.7765509424349424,353322892150.5248
2026-01-01,21.75199095694766,9.631129202780746,50.72190249237073,-4.038096412743474,1.1356802071905034,0.776844449622356,332231403910.3855
2027-01-01,22.165205044110078,10.250702475118882,49.71576839648432,-3.7469843890749734,1.1672249362996532,0.7750589736026087,350989739175.8978
2028-01-01,22.053754542537472,10.070397857173504,50.46224750704367,-3.812091829731223,1.18364410389749,0.7756956043182052,349492543440.3213
2029-01-01,22.09157856499322,10.094212969158624,50.78803018417734,-3.8637948655835146,1.1884017377708767,0.775783334064305,351733129738.6549
2030-01-01,22.00948846298885,10.049211057244134,50.77483351568169,-3.8900473499437975,1.1683215679984378,0.7759761204797544,347667394114.8968
2031-01-01,21.87759775427811,9.97971922336705,50.310473960688974,-3.8146884690719496,1.1473428168747535,0.7761451097006251,339198677113.1553
