,Electricity: Distribution Losses,Population: Growth Rate,Economics: GDP
2022-01-01,0.005687298182574293,2.40850409874655,905862018.1138854
2023-01-01,0.005772013600653355,2.3837266462132303,957000651.9629672
2024-01-01,0.005872406435981554,2.475185386616254,934304764.9891034
2025-01-01,0.005660024585894746,2.453566732068765,950861333.5945837
2026-01-01,0.005241285628062787,2.5193723981718095,831988690.2837062
2027-01-01,0.005628683904854306,2.404661105191065,935137722.3681579
2028-01-01,0.005863146709612418,2.382365838197674,980737731.9639182
2029-01-01,0.00589504845435683,2.4537555531827233,974447341.080333
2030-01-01,0.005967578801477324,2.4372718569818708,1006771676.9144474
2031-01-01,0.005544574045554469,2.496568561318231,897373505.996222
