,Electricity: Distribution Losses,Electricity: Imports,Electricity: Installed Capacity,Population: Growth Rate,Economics: GDP
2022-01-01,0.1722253847544695,0.20568131678097387,0.6094762271965375,2.6797741554734436,8125198008.641989
2023-01-01,0.5946038880825197,-0.13036569497562805,0.8806116559367676,4.351653270416282,1224519792.8541207
2024-01-01,1.405217153308895,-1.0374256529039572,1.0814040804186273,8.24459384416663,-18553207350.64323
2025-01-01,2.8243216787506054,-2.8362414906868088,1.2582847334059772,15.73156726548788,-58528756728.220184
2026-01-01,5.21297083042709,-6.031714262532697,1.5092353658822033,29.109244337836607,-131487794456.09784
2027-01-01,9.091002645822849,-11.492873604105926,1.7261555693745223,52.10752305716137,-256189470299.43802
2028-01-01,15.184836036292246,-20.61786760612602,1.5006890927626346,89.24375080691247,-468060264702.48303
2029-01-01,24.359622705726512,-35.30142666600481,0.22717017403543444,147.45718037252334,-813016126400.2477
2030-01-01,37.490568630435234,-57.87886068044086,-3.0972732451270573,235.106877395265,-1349621173017.613
2031-01-01,55.16679872355335,-90.95139883041334,-10.129050419170001,360.61864690661577,-2145377937872.0251
