,Electricity: Distribution Losses,Electricity: Imports,Population: Growth Rate,Economics: GDP
2022-01-01,0.4298787790847382,0.279521007130759,2.8850287642517745,15366965393.580751
2023-01-01,0.4417960975661921,0.28329774460897683,2.9123107911581854,16336158710.093979
2024-01-01,0.43836707429875754,0.27295157332041375,2.919174367344886,16231441793.841032
2025-01-01,0.4203117267853784,0.2589820215744823,2.8725422659774433,14960108734.956068
2026-01-01,0.41304837872372735,0.2559740590362331,2.8506619386665624,14397207752.752926
2027-01-01,0.4286303506793652,0.27506286054519247,2.8761096511653133,15370354544.653381
2028-01-01,0.4354699333635338,0.27536408088280084,2.903360734601395,15942042591.647629
2029-01-01,0.43216433731970705,0.26749153596160247,2.905244293613964,15804750512.184994
2030-01-01,0.42065913489676166,0.25936824629207533,2.873931407596864,14980816622.095013
2031-01-01,0.416023692721776,0.25712295968566806,2.86077763714821,14627032622.005165
