,Electricity: Distribution Losses,Electricity: Installed Capacity,Population: Growth Rate,Economics: GDP
2022-01-01,0.6535376806120797,1.6551810764299169,2.4610106994106205,20341403666.500553
2023-01-01,0.7180138878601879,1.6902452667186294,2.4454662647538985,22099477111.084885
2024-01-01,0.7636226111151057,1.6739582361703562,2.4640723612354125,22600801043.64881
2025-01-01,0.9519172586800142,1.6943700817789407,2.48505296424556,26602238963.448013
2026-01-01,1.1277112120802704,1.746182521528884,2.478682331403867,30316926613.325573
2027-01-01,0.7116822498359814,1.6563309262339696,2.4579828996677837,21193573184.29765
2028-01-01,0.7597148683771388,1.6863373421325343,2.4503400715581223,22670906182.989605
2029-01-01,0.7974540245248382,1.683637493135979,2.4582737792894527,23290279100.810017
2030-01-01,0.9497061051741545,1.7199789888843637,2.4647389852462918,26633857295.97773
2031-01-01,1.090870747330688,1.7592757483571182,2.4677725039009877,29782929017.18322
