,Electricity: Distribution Losses,Electricity: Exports,Electricity: Imports,Electricity: Installed Capacity,Electricity: Net Imports,Population: Growth Rate,Economics: GDP
2022-01-01,3.7827737408410855,0.6959076102441637,0.3432520392089099,7.893880557220901,-0.35265557103525336,1.5448852192579576,97008035597.91743
2023-01-01,3.8405646047039173,0.8606439888257355,0.25198516236418433,8.52748211817601,-0.6086588264615506,1.5121255925297297,103209409288.96155
2024-01-01,4.064984693868663,0.857778167669562,0.44057280700266327,8.497383199925489,-0.4172053606668982,1.5314954955703424,107776076451.11615
2025-01-01,3.9633249280452927,0.5970356810101298,0.5003749197076524,8.173555090662099,-0.09666076130247675,1.5469021765290767,108188538647.96591
2026-01-01,3.931473035954968,0.49551084489184694,0.5781090398620083,7.816830057817334,0.08259819497016185,1.5440881341385937,105403528655.6702
2027-01-01,3.871584115702409,0.45908653658845555,0.5702837828433908,7.607731684124766,0.11119724625493566,1.5546058023326497,102362855622.11758
2028-01-01,3.9114934204013405,0.5435884868434266,0.5318698792717914,8.005458170461372,-0.011718607571634787,1.5380317002423392,107181585110.58432
2029-01-01,3.9124811990545583,0.5918445268378032,0.4816309050359963,8.29580840460704,-0.11021362180180644,1.5254262411695696,110452129912.96701
2030-01-01,3.9434408367005758,0.6038168773007151,0.5043217174625642,8.319975532122388,-0.09949515983815038,1.5251400230248788,111228876642.60938
2031-01-01,3.929975229488223,0.5523805792084018,0.5319199683844071,8.140997534668957,-0.02046061082399442,1.5362000820423654,109484766808.28758
