,Electricity: Distribution Losses,Electricity: Exports,Electricity: Imports,Electricity: Installed Capacity,Electricity: Net Imports,Population: Density,Population: Growth Rate,Economics: GDP
2022-01-01,8.629342348170393,10.289465116259912,17.905871391372465,52.89667640358285,7.616406275112539,124.10665125941313,0.9677370342883951,590083109774.0894
2023-01-01,9.997441443016292,6.652519403700599,18.966401802569088,45.88817669782022,12.313882398868579,122.25343128812324,-0.6893555859729871,443253079921.4737
2024-01-01,8.246458696230446,11.170097977584794,19.40162318660655,49.16213514488045,8.231525209021715,123.65956147598051,0.6528850294735236,642929245498.8289
2025-01-01,8.495082709299073,6.382945984205994,19.911725239324284,46.928378576279364,13.528779255118366,121.7913853045022,-1.069915417074323,558691354638.526
2026-01-01,9.840336530403947,-8.31370601434282,11.1425085649741,39.5325452901735,19.456214579316715,124.14239050108016,1.7071643917794472,428521662888.3781
2027-01-01,6.270111247687065,20.68450735273532,29.070707776970657,54.27205107924706,8.386200424235597,121.12742030418278,-1.7785867467047498,304790369125.46405
2028-01-01,9.074630881662886,-2.778862493055616,12.575879885826883,53.84173425885124,15.354742378882236,125.36326691260163,2.6555289115938185,783535655222.5867
2029-01-01,8.117583401744685,17.8680170790481,33.70570663989056,52.56931105493156,15.837689560842865,119.13357498295102,-3.526565556704076,252096451284.46292
2030-01-01,11.506712813291466,-21.16210904809755,3.1372515605402214,50.30868485672516,24.299360608637183,128.5148169874924,6.3656998982181765,633897551866.8969
2031-01-01,5.424935527560028,27.67494978745228,43.42673922051607,40.97490621979356,15.75178943306468,112.8218547985113,-9.721694897712723,-202602022430.6231
