,Electricity: Distribution Losses,Electricity: Exports,Electricity: Imports,Electricity: Installed Capacity,Population: Growth Rate,Population: Percentage,Economics: GDP
2022-01-01,6.760524127344472,0.5531975610906392,0.5843220746058069,17.346887665486726,1.221739069753807,0.6670893296859306,256415138698.8441
2023-01-01,6.2737201714212265,0.5848212633945833,0.5626040872497218,17.770375190676205,1.1616334829208026,0.6664920346069052,306265843083.8309
2024-01-01,6.219674472273537,0.5047008950323614,0.5532365375528903,17.892868241283132,1.189475096645055,0.6654033005445925,313217170535.30566
2025-01-01,6.76105644913978,0.5979935141633748,0.3683016104885468,17.369351234679414,1.2207843833602836,0.6636145824365867,297791861554.0756
2026-01-01,7.356037783434371,0.6355979559583989,0.24284043701192848,16.655442367443253,1.279814630681982,0.6619262599924319,276326299323.7844
2027-01-01,7.554607562632977,0.7738334506243302,0.30927074059251336,16.47953497393352,1.2565870087768414,0.6646641182881075,263317114230.10992
2028-01-01,6.874627847616582,0.7002361629279048,0.37771855632366763,17.225063940263546,1.2013016586689476,0.6648943674368727,302629965447.8553
2029-01-01,6.759875906994083,0.6498276737580801,0.39565138717129533,17.34264064793051,1.202994110071907,0.6645692408615209,304502992881.2003
2030-01-01,7.050678645177584,0.6691072531357857,0.33521300692119527,17.004444764850998,1.2297692368495348,0.6636859119849317,291313195076.3258
2031-01-01,7.436474724382234,0.6992219768675869,0.25791561723804546,16.55426215117643,1.2668715462507747,0.6627602680326264,275046387049.03375
