,Electricity: Distribution Losses,Electricity: Exports,Electricity: Imports,Electricity: Installed Capacity,Electricity: Net Consumption,Population: Growth Rate,Economics: GDP
2022-01-01,18.196772226000952,3.8939217790729086,45.30053492292494,113.32101318095471,292.46558476017447,-0.13794240360478827,1837622648044.1548
2023-01-01,18.379147653723848,4.122589486701585,44.264711629259466,113.71827352321755,289.20372213269536,-0.1116765976237934,1852984778149.2173
2024-01-01,18.47059141254619,3.9754475796923585,44.93991345265582,116.59295948731275,292.63289007772954,-0.12205122536934387,1921974231928.2026
2025-01-01,18.51939525686469,3.7305898054289437,45.16681233634471,112.1446127720853,294.54186826595077,-0.08568590055949205,1889709831167.6648
2026-01-01,18.767283279950473,3.379288179161483,45.23284572304332,106.41361512783354,292.55576816215665,-0.00028098096891115976,1823655755344.708
2027-01-01,18.656537099868146,3.440959082922757,45.224369819953004,106.01551259323728,292.2597973686647,-0.010972609026181634,1810039656501.7124
2028-01-01,18.695754532697094,3.4367647370827914,45.14444160455728,106.35679992020698,292.35830095780716,-0.0054574630344008945,1821320057156.524
2029-01-01,18.85910380277035,3.256187614460451,45.08377124569947,106.6261057599233,293.0625148227629,0.020721334118598445,1850988128897.3953
2030-01-01,18.948059493816974,3.1724514736219747,45.35392505670487,105.68715620621242,293.60366455965215,0.042926327338398476,1841203591720.7417
2031-01-01,18.95524948027311,3.1636506724741884,45.45897742887128,104.24305363105665,293.7003442263314,0.05233533650953659,1819823940868.678
