,Electricity: Distribution Losses,Electricity: Exports,Electricity: Imports,Electricity: Installed Capacity,Electricity: Net Consumption,Population: Density,Population: Growth Rate,Economics: GDP
2022-01-01,0.938731838154058,3.6234761338003443,12.838807609120671,3.647726340450977,11.615572825306309,42.844117650598136,-1.1094243939178663,55887248278.926575
2023-01-01,0.9767949551974118,3.132184876464007,13.976101939597577,3.7636921572823594,11.368400517325785,43.31165462191126,-1.0333733396395988,52691698146.18745
2024-01-01,1.0279131368790306,3.7309148356633512,13.219987239997678,3.6638332314517705,11.189374875449966,43.64704845212026,-1.0258333871069714,48233178192.85927
2025-01-01,0.9737445346270029,1.5512110162463668,12.882601252031389,3.3009212850570826,11.24326470781743,43.88648284719146,-0.8763772675601647,49427847363.84465
2026-01-01,0.9662184445631966,1.5694464847630476,12.418592824700124,3.4639667579772215,11.115988394077418,43.867470333695074,-0.7616204266413751,47117665959.743034
2027-01-01,1.0127784039840613,5.339925247080893,13.118869832469432,3.942808882617538,11.868407120176524,42.78349694123075,-1.1135920484797945,53012927889.35152
2028-01-01,0.9833754163748649,4.237974891220008,13.576983256173213,4.059774607908929,11.683764083865901,43.32242679740312,-0.9896668734846297,53606173814.35122
2029-01-01,1.0912464211091195,4.965580144096522,15.358476060969044,3.589432253052827,11.656225959105598,43.40906189569904,-0.9759172531224294,53099675737.49962
2030-01-01,1.049429575611707,2.846286345060843,14.562249028565043,3.2349437015601743,11.764521581318194,43.621680097150005,-0.8925796062404472,51487920801.21399
2031-01-01,0.9938556550602115,1.0614712166058076,13.315724182627063,3.2122305500431945,11.587054111857466,43.43888219965402,-0.8192889892357598,47410475737.59577
