,Electricity: Distribution Losses,Electricity: Imports,Electricity: Installed Capacity,Electricity: Net Generation,Population: Percentage,Economics: GDP
2022-01-01,0.17465119112136004,0.92826323126898,0.2657831595477899,0.6915100802387895,0.015968064019639867,4180968975.562517
2023-01-01,0.15537478436370436,0.9024250425375275,0.27517512222626433,0.7121147539526677,0.01587276635315053,4231913165.8414497
2024-01-01,0.1866966782106015,0.9923495640898924,0.2848052944706857,0.7027209467548934,0.015764538240381876,4667997982.357151
2025-01-01,0.17471902944194823,0.9575071108461763,0.27401437362574516,0.6850935061748835,0.015899750755144042,4358724782.141998
2026-01-01,0.1646920990136169,0.9240402541881226,0.2557186178047818,0.6748523436986937,0.016034098012186422,4036789238.4970555
2027-01-01,0.1791964062664784,0.9624131007810148,0.2690951074283886,0.6877907288770845,0.015907907528789345,4361687565.89335
2028-01-01,0.17411847582942386,0.9509497021294298,0.2686364203991478,0.6834388041187647,0.015935195157126474,4289626338.302344
2029-01-01,0.17272324533003242,0.9527554403796376,0.28236291056369317,0.7019239169584461,0.015821970621747967,4475364741.95183
2030-01-01,0.17724664348588393,0.962527064280808,0.2738747157633005,0.6918933600924453,0.01587631775602762,4407405908.314639
2031-01-01,0.17322714426221686,0.9484595741031303,0.2635800779153861,0.6799142575815025,0.01596465284460952,4221608467.3436084
