,Electricity: Distribution Losses,Electricity: Exports,Electricity: Imports,Electricity: Installed Capacity,Electricity: Net Consumption,Electricity: Net Generation,Population: Growth Rate,Economics: GDP
2022-01-01,3.1864117757175743,10.82108594652653,3.258397307460287,10.458959113133234,30.905346548207305,41.65444696262702,-0.8891054803037265,67036423372.80649
2023-01-01,3.256394922658219,10.671832111510886,3.2037645223053954,10.491956220994298,30.85920797705539,41.58367048855627,-0.886393357545876,65868439355.122955
2024-01-01,3.30560416903883,10.686650225216098,3.176268848189225,10.551029321614719,30.788471214242396,41.60445675998383,-0.8750289823136372,64792764065.70148
2025-01-01,3.583578398963851,10.234506857664137,2.978869296075547,10.74389092932502,30.53499905021197,41.37421501050581,-0.8498369484338458,59634498349.65673
2026-01-01,3.8113548617257367,9.880945316737565,2.8131976601361597,10.891144409607138,30.342226009762566,41.22132852787704,-0.8305259487308937,55549305057.024925
2027-01-01,3.3258753664888525,10.674769287022723,3.1544264683551257,10.544222792111826,30.798129078308552,41.64434726312953,-0.876103737508007,64676300824.11035
2028-01-01,3.346937341759392,10.58510461892719,3.143571040787516,10.568799768503604,30.762560843376153,41.5510317629494,-0.8740986868018805,64105698384.39146
2029-01-01,3.4037904358561466,10.48011458160213,3.100861253376109,10.601028574340997,30.71917078790936,41.50221455167232,-0.8705183823407865,63116123280.32158
2030-01-01,3.581476373995462,10.239264267840673,2.9780143911463273,10.735667508335249,30.545682686607737,41.3884089370329,-0.8511282093261304,59750918988.21902
2031-01-01,3.7526704765984613,9.970493668634408,2.854388933137668,10.848821722516092,30.397418086513397,41.26619329838035,-0.8362834189317783,56649019833.162
