,Electricity: Distribution Losses,Electricity: Imports,Electricity: Installed Capacity,Population: Growth Rate,Economics: GDP
2022-01-01,1.2016397502740266,0.11623052435688022,1.6699132262398344,3.169484090975435,63063899612.478775
2023-01-01,1.0671358948453724,0.132485488349426,1.7183466376769374,3.2462265251847393,65200891845.873764
2024-01-01,0.9901629034273397,0.13584966931332448,1.687661676997539,3.2729241310197836,62757064002.062325
2025-01-01,1.0023044982400628,0.13075543961048788,1.644387422683932,3.232987016267759,59821652366.03564
2026-01-01,0.9713597724581302,0.12816450015794084,1.5886457313610458,3.207243729657132,56455263182.5139
2027-01-01,1.188550390501279,0.1236946940049439,1.7286961048343557,3.1816560036929946,64633855757.50391
2028-01-01,1.1208679317982078,0.13841394400616272,1.786049941019662,3.2415318749798696,67939934220.53914
2029-01-01,1.038121106944636,0.1428800175642614,1.771526198578795,3.257659220416636,67011008433.11729
2030-01-01,1.0180919511388842,0.13982807406244904,1.7358113514678282,3.260646044139569,65006405992.17929
2031-01-01,1.0012543328145156,0.13764863378468462,1.6920964008125359,3.2651653050734994,62172661273.08624
