,Electricity: Distribution Losses,Electricity: Exports,Electricity: Imports,Electricity: Installed Capacity,Electricity: Net Consumption,Electricity: Net Generation,Electricity: Net Imports,Population: Density,Population: Growth Rate,Economics: GDP
2022-01-01,6.5527858778528,6.039522233383798,8.908261003321844,20.6161694663889,50.89707562999647,54.581122741197156,2.8687387699380693,81.97575597230063,0.42094948699628676,246738642851.17786
2023-01-01,7.039974691610047,5.452398715184834,6.164289268526215,22.97065735459733,50.43344986417425,56.76153400352058,0.7118905533413977,83.50813557669002,-0.20508168801406723,203113716626.8332
2024-01-01,6.389925961844915,8.25639710673201,9.597497198919985,21.84170505286418,50.901144083063585,55.94996995541069,1.3411000921880125,83.37107844357945,0.16518522072896968,216141146667.72327
2025-01-01,7.552570918714196,12.951854153881444,7.972463197646522,25.67155426041982,56.53604832508515,69.0680101998539,-4.979390956234883,82.93940597840003,-0.4084821388841116,227240477807.85095
2026-01-01,6.424774840648835,9.040307866427614,10.650159612335056,20.466549752862267,57.70939367435482,62.5243167725831,1.6098517459075008,82.82565131431811,0.32465667530529874,218732811820.15768
2027-01-01,7.781486922306085,8.575279312238543,8.3120180464598,25.461175569376486,58.660147520001644,66.70489570937761,-0.26326126577869413,83.46243477389407,0.15438727594039292,258408668403.84937
2028-01-01,6.913333703483521,7.774908393445415,10.91701696457355,22.451642641823437,59.41335698119899,63.18458211791154,3.142108571128192,83.44873785457308,0.7076164573712206,271413585885.1759
2029-01-01,7.976775633871301,13.807597642559982,10.255157326363985,29.592985440923012,59.610420290521084,71.13963624055566,-3.5524403161959395,82.21150508315935,-0.04835848072129184,271491845061.42688
2030-01-01,6.394290270870689,11.27277274808535,14.849114139313036,21.101026942872817,59.83463251285619,62.652581397968454,3.5763413912277624,80.64972696984388,0.7905128918498049,249140831160.91687
2031-01-01,7.771356566661158,11.057256556551543,10.823270855390986,28.364953784673567,61.68181523124175,69.68715750020169,-0.233985701160498,83.21029059058554,0.32682185254028895,236459936060.50803
