,Electricity: Distribution Losses_lag1,Electricity: Exports_lag1,Electricity: Imports_lag1,Electricity: Installed Capacity_lag1,Electricity: Net Imports_lag1,Population: Growth Rate_lag1,Economics: GDP_lag1,Electricity: Distribution Losses_lag2,Electricity: Exports_lag2,Electricity: Imports_lag2,Electricity: Installed Capacity_lag2,Electricity: Net Imports_lag2,Population: Growth Rate_lag2,Economics: GDP_lag2,Electricity: Distribution Losses_lag3,Electricity: Exports_lag3,Electricity: Imports_lag3,Electricity: Installed Capacity_lag3,Electricity: Net Imports_lag3,Population: Growth Rate_lag3,Economics: GDP_lag3,Electricity: Distribution Losses_lag4,Electricity: Exports_lag4,Electricity: Imports_lag4,Electricity: Installed Capacity_lag4,Electricity: Net Imports_lag4,Population: Growth Rate_lag4,Economics: GDP_lag4,Electricity: Distribution Losses_lag5,Electricity: Exports_lag5,Electricity: Imports_lag5,Electricity: Installed Capacity_lag5,Electricity: Net Imports_lag5,Population: Growth Rate_lag5,Economics: GDP_lag5,Electricity: Distribution Losses,Electricity: Exports,Electricity: Imports,Electricity: Installed Capacity,Electricity: Net Imports,Population: Growth Rate,Economics: GDP
1997-01-01,2.176,0.0,0.0,2.739,0.0,1.8864946717729636,25226393196.5983,2.104,0.0,0.0,2.55,0.0,1.9227675797148625,24432884442.2211,1.981,0.0,0.0,2.563,0.0,1.96046272133305,22708673336.6683,1.74,0.0,0.0,2.4464,0.0,1.9996654163724208,18938717358.6793,1.597,0.0,0.0,2.294,0.0,1.9996654163724208,18094238119.0595,2.537,0.0,0.0,3.126,0.0,1.8515649967645864,28162053026.5133
1998-01-01,2.537,0.0,0.0,3.126,0.0,1.8515649967645864,28162053026.5133,2.176,0.0,0.0,2.739,0.0,1.8864946717729636,25226393196.5983,2.104,0.0,0.0,2.55,0.0,1.9227675797148625,24432884442.2211,1.981,0.0,0.0,2.563,0.0,1.96046272133305,22708673336.6683,1.74,0.0,0.0,2.4464,0.0,1.9996654163724208,18938717358.6793,2.515,0.0,0.0,3.4192,0.0,1.8179052985817183,27981896948.4742
1999-01-01,2.515,0.0,0.0,3.4192,0.0,1.8179052985817183,27981896948.4742,2.537,0.0,0.0,3.126,0.0,1.8515649967645864,28162053026.5133,2.176,0.0,0.0,2.739,0.0,1.8864946717729636,25226393196.5983,2.104,0.0,0.0,2.55,0.0,1.9227675797148625,24432884442.2211,1.981,0.0,0.0,2.563,0.0,1.96046272133305,22708673336.6683,2.434,0.0,0.025,3.4806,0.025,1.7854475529138991,19645272636.3182
2000-01-01,2.434,0.0,0.025,3.4806,0.025,1.7854475529138991,19645272636.3182,2.515,0.0,0.0,3.4192,0.0,1.8179052985817183,27981896948.4742,2.537,0.0,0.0,3.126,0.0,1.8515649967645864,28162053026.5133,2.176,0.0,0.0,2.739,0.0,1.8864946717729636,25226393196.5983,2.104,0.0,0.0,2.55,0.0,1.9227675797148625,24432884442.2211,2.561,0.0,0.02,3.49854,0.02,1.7541285083859572,18327764882.4412
2001-01-01,2.561,0.0,0.02,3.49854,0.02,1.7541285083859572,18327764882.4412,2.434,0.0,0.025,3.4806,0.025,1.7854475529138991,19645272636.3182,2.515,0.0,0.0,3.4192,0.0,1.8179052985817183,27981896948.4742,2.537,0.0,0.0,3.126,0.0,1.8515649967645864,28162053026.5133,2.176,0.0,0.0,2.739,0.0,1.8864946717729636,25226393196.5983,2.718,0.0,0.025,3.13591,0.025,1.8715215538232448,24468324000.0
2002-01-01,2.718,0.0,0.025,3.13591,0.025,1.8715215538232448,24468324000.0,2.561,0.0,0.02,3.49854,0.02,1.7541285083859572,18327764882.4412,2.434,0.0,0.025,3.4806,0.025,1.7854475529138991,19645272636.3182,2.515,0.0,0.0,3.4192,0.0,1.8179052985817183,27981896948.4742,2.537,0.0,0.0,3.126,0.0,1.8515649967645864,28162053026.5133,3.342,0.0,0.055,3.26763,0.055,1.837139099600492,28548945000.0
2003-01-01,3.342,0.0,0.055,3.26763,0.055,1.837139099600492,28548945000.0,2.718,0.0,0.025,3.13591,0.025,1.8715215538232448,24468324000.0,2.561,0.0,0.02,3.49854,0.02,1.7541285083859572,18327764882.4412,2.434,0.0,0.025,3.4806,0.025,1.7854475529138991,19645272636.3182,2.515,0.0,0.0,3.4192,0.0,1.8179052985817183,27981896948.4742,3.655,0.067,1.12,3.30258,1.053,1.8039971623748352,32432858000.0
2004-01-01,3.655,0.067,1.12,3.30258,1.053,1.8039971623748352,32432858000.0,3.342,0.0,0.055,3.26763,0.055,1.837139099600492,28548945000.0,2.718,0.0,0.025,3.13591,0.025,1.8715215538232448,24468324000.0,2.561,0.0,0.02,3.49854,0.02,1.7541285083859572,18327764882.4412,2.434,0.0,0.025,3.4806,0.025,1.7854475529138991,19645272636.3182,4.248,0.035,1.642,3.35869,1.607,1.7720297951538098,36591661000.0
2005-01-01,4.248,0.035,1.642,3.35869,1.607,1.7720297951538098,36591661000.0,3.655,0.067,1.12,3.30258,1.053,1.8039971623748352,32432858000.0,3.342,0.0,0.055,3.26763,0.055,1.837139099600492,28548945000.0,2.718,0.0,0.025,3.13591,0.025,1.8715215538232448,24468324000.0,2.561,0.0,0.02,3.49854,0.02,1.7541285083859572,18327764882.4412,3.397,0.016,1.723,3.62316,1.707,1.7411756439569457,41507085000.0
2006-01-01,3.397,0.016,1.723,3.62316,1.707,1.7411756439569457,41507085000.0,4.248,0.035,1.642,3.35869,1.607,1.7720297951538098,36591661000.0,3.655,0.067,1.12,3.30258,1.053,1.8039971623748352,32432858000.0,3.342,0.0,0.055,3.26763,0.055,1.837139099600492,28548945000.0,2.718,0.0,0.025,3.13591,0.025,1.8715215538232448,24468324000.0,3.518,0.00123,1.57,4.061,1.56877,1.71137755479668,46802044000.0
