,Electricity: Distribution Losses,Population: Growth Rate,Economics: GDP
2022-01-01,0.11996007792581745,2.5426590513774197,13271930505.694246
2023-01-01,0.13101473626475646,2.4872850510376376,14021249578.745575
2024-01-01,0.13459645396937137,2.4988488500368518,13649504403.705074
2025-01-01,0.13142619998147317,2.5725246248523663,13336752467.86224
2026-01-01,0.12416873343904836,2.6632360240246573,12417373618.466047
2027-01-01,0.12583479320136212,2.5599073695950385,13398599109.873856
2028-01-01,0.13280597581811202,2.495482041594695,14045844339.947918
2029-01-01,0.13541482579785075,2.494414941445624,13692544409.439772
2030-01-01,0.13301558476677355,2.5446940159812277,13471342925.51122
2031-01-01,0.12752676172685085,2.6219657423899823,12848323239.1046
