,Electricity: Distribution Losses,Electricity: Imports,Electricity: Net Imports,Population: Growth Rate,Economics: GDP
2022-01-01,0.37303786155193286,0.2974902888401067,-0.2361785932104513,3.1172472102624407,18015040627.37287
2023-01-01,0.36332641958129974,0.22947807732848974,-0.3252673771326235,3.064296931957723,17696869155.76452
2024-01-01,0.38886918507750223,0.2639711762861821,-0.2557475436683192,3.0933475740218617,18648623487.96321
2025-01-01,0.391658667822705,0.3399302697654974,-0.2345749746952131,2.908484857187317,19772031952.225807
2026-01-01,0.39236648826328835,0.2984054347120531,-0.2885825851557815,2.800523726761833,20442340434.339294
2027-01-01,0.41859960953053044,0.3512984344637795,-0.25019177365594736,3.092680127180657,20900680779.03674
2028-01-01,0.4218478360545076,0.37929994285114815,-0.23678334912734533,2.9977188843300677,21580435079.26557
2029-01-01,0.4330523874139425,0.3637631659394553,-0.2888548730985455,3.0080739258927314,22477595560.54762
2030-01-01,0.43947070701034774,0.38409353215613373,-0.27029484617926497,3.016861709795292,22605357835.343178
2031-01-01,0.44766298404775007,0.40388561617519103,-0.28464368498542486,3.007369096340922,23146996765.525658
