,Electricity: Distribution Losses,Electricity: Exports,Electricity: Net Imports,Population: Growth Rate,Economics: GDP
2022-01-01,3.2825413810870385,20.64603499951534,6.186972093961371,0.47190454314638797,429836200769.82153
2023-01-01,3.3232917706695937,21.01862024862087,5.954222099840109,0.5303051805148733,436108458700.4465
2024-01-01,3.425048675318921,20.24356685231292,8.05121533445421,0.5714336933835982,485265236711.4389
2025-01-01,3.349641538815382,19.862727285908505,5.76165002779785,0.5412135638332289,442300033310.4914
2026-01-01,3.334767883031437,20.019422839757052,6.273575720954662,0.5253927429543799,420509508383.0263
2027-01-01,3.3626552147427486,20.0489330429794,6.631034627047379,0.5208017967077145,450030028271.8252
2028-01-01,3.3846970246133137,20.26716198552289,6.444042483217871,0.5535277468335,452016186131.34827
2029-01-01,3.3941810945661213,20.179193052945912,6.5667108476321285,0.5615287350137146,472868280469.09796
2030-01-01,3.354311556863628,20.20821135028282,6.1004840374424125,0.5301703296953361,445696539202.3896
2031-01-01,3.3541010914928524,20.105268803986068,6.409062604708556,0.5357821900569812,435470528946.93835
