,Electricity: Distribution Losses,Electricity: Exports,Electricity: Imports,Electricity: Installed Capacity,Population: Growth Rate,Economics: GDP
2022-01-01,2.3085201937654487,0.125168686632503,0.39167927180826523,5.133368220529276,3.7647604649102133,44065521207.81294
2023-01-01,2.302605419917843,0.12200107893918619,0.3694516229060821,5.219044822414986,3.770936112080274,44677494348.64383
2024-01-01,2.2324022184990087,0.10877207725773475,0.38211350220946305,5.057700853326889,3.9176537169974304,43326664050.11984
2025-01-01,2.2307113788124147,0.10524447431617762,0.43938060545747953,4.905873515978727,4.21040955683168,42517035600.67571
2026-01-01,2.2198347630164648,0.10722490633256088,0.46602481766416487,4.763782093853202,4.254773351461867,41399824175.8667
2027-01-01,2.3464717734913303,0.12194103468829322,0.4088754451348111,5.171689413850606,3.9657718080704085,44965939674.68877
2028-01-01,2.358004298550304,0.12178542569551065,0.4007747376988825,5.2353513482769145,3.981989817687215,45532391653.43115
2029-01-01,2.3168044455720365,0.11815785938322024,0.4183081020078213,5.1056445551751946,4.058979381051646,44333157566.322716
2030-01-01,2.323221394914385,0.11792182984137081,0.45024602612692044,5.0263732275671105,4.202157563621126,43934399823.522675
2031-01-01,2.3034170033178443,0.11662982795089542,0.46802939984425945,4.919486999414616,4.26049292909869,43064806458.24983
