,Electricity: Distribution Losses,Electricity: Installed Capacity,Electricity: Net Consumption,Economics: GDP
2022-01-01,2.192490081057143,5.919525550372791,15.814351711855176,78532910096.21529
2023-01-01,2.4678086724108805,5.959483029460347,17.68198822183239,91607867213.19742
2024-01-01,2.7559299487525886,5.553301503595685,17.992637086101475,98258873178.35927
2025-01-01,2.8905492011519214,5.434737787157916,17.38240357548748,94166375883.26874
2026-01-01,2.711552902918297,5.771586629986603,17.105803493524213,88806628444.16272
2027-01-01,2.268654119855958,6.606944851409487,17.492859508790517,85196694378.50842
2028-01-01,2.281852568002225,6.6094997751432585,19.08507461139221,98668285486.33621
2029-01-01,2.755978225672121,5.723403577031922,19.25775474295344,110990792308.33736
2030-01-01,3.2301429084101216,4.985559409047316,18.10721759127404,107763243367.738
2031-01-01,3.163319923165524,5.456425044375422,17.44203922073589,94999066347.83594
