,Electricity: Distribution Losses,Electricity: Exports,Electricity: Imports,Electricity: Installed Capacity,Population: Growth Rate,Economics: GDP
2022-01-01,8.931138388013748,16.129620419640347,7.709519104962817,32.64883881218303,0.8347291576730176,372094298460.1667
2023-01-01,8.706751843454262,17.154792311081764,7.739004774512673,33.17229985997532,0.8943354918463862,399564560888.32025
2024-01-01,8.716523611336305,17.906673106124558,7.676636028903098,33.6536037582505,0.9239805181977517,430578267643.28503
2025-01-01,8.807427722295074,16.852004212844776,7.737957603625388,33.0623588484683,0.8837246503792672,398971222831.7428
2026-01-01,8.865382016655463,15.934872451398292,7.786035461297534,32.50423848695736,0.8567430760837396,374489513323.5569
2027-01-01,8.82862374328319,16.033784912794776,7.79201552999891,32.54150586603834,0.862393143610789,375495226341.45953
2028-01-01,8.747207295814297,16.888145622154887,7.7584758614368825,33.042979876729014,0.8897784950911041,396667505115.1535
2029-01-01,8.685340889083953,17.82755048079779,7.712010123160028,33.61418690286682,0.9188153674741706,422284499895.45404
2030-01-01,8.767263597144696,16.97934140399712,7.7496671641652775,33.1333343885886,0.8846863424788598,396971207864.9928
2031-01-01,8.81514438391261,16.218119132066075,7.794582490540719,32.677442221326004,0.8624672225392211,376602406449.697
