,Electricity: Distribution Losses,Electricity: Exports,Electricity: Imports,Electricity: Installed Capacity,Electricity: Net Consumption,Electricity: Net Generation,Population: Density,Population: Growth Rate,Economics: GDP
2022-01-01,0.10202534671792578,0.003648580532156862,0.45522617813488064,0.07540464304473476,0.8610136500033018,0.5114613991185039,73.12318405738887,1.0270767964791885,1941688610.510082
2023-01-01,0.10571276135015516,0.002417991875660292,0.47919878738319344,0.07561792517997888,0.8794975723577927,0.5084295382004147,73.38538530034708,1.1209812612543322,1976447739.6666992
2024-01-01,0.03719007048506641,0.006739408531446287,0.30952874755004645,0.07998883190077304,0.7924194705671137,0.5268202020335799,69.61106418953547,0.9148936885977401,2259509211.1942263
2025-01-01,0.09626098486517472,0.0030282062684952584,0.453014892630457,0.07611445079704039,0.8645238865738984,0.5107981850771114,72.87778017522169,1.0835111979729015,2003181238.6004467
2026-01-01,0.09719338518778411,0.0035261846944618317,0.44779531562695646,0.07583711317557255,0.8571420519565328,0.5100663062118224,72.86009317904396,1.0436006740776231,1969273983.1467443
2027-01-01,0.05399673995546615,0.006786595036531642,0.33136016374479105,0.07822575210829695,0.7876964221817202,0.517119593428927,70.41101081873751,0.868223773653479,2096484644.4993887
2028-01-01,0.0889881913543995,0.0042505900601409,0.419785055156053,0.07602982185068348,0.8335903949444147,0.507044121202902,72.37395419959645,0.989093665873701,1957292677.1163101
2029-01-01,0.09244170447308603,0.003583949609158741,0.43921493680756896,0.0762102957956721,0.8526578763605928,0.5094685936352686,72.6124329936658,1.0501606064350117,1995310537.7313464
2030-01-01,0.06407703473021673,0.005944686886903742,0.35815089943190137,0.07762260617547193,0.8015173608445937,0.5133881830298128,70.97492941654976,0.91114593298744,2058453523.5372775
2031-01-01,0.08402654624543011,0.004640430070229365,0.4058195753657138,0.07627796878431231,0.8250690905860116,0.5079164915359575,72.08727316040014,0.9658398224447284,1969063541.673716
