,Electricity: Distribution Losses,Electricity: Exports,Electricity: Imports,Electricity: Net Imports,Economics: GDP
2022-01-01,264.2402657815662,8.957862577541947,7.250926409396927,-1.7069361681450186,2699225467186.522
2023-01-01,270.0601090679357,9.491911147363027,7.630133298769826,-1.8617778485931993,2852581299867.473
2024-01-01,269.9853011035219,8.385981072262041,7.675032921028368,-0.7109481512336728,2820715282787.184
2025-01-01,272.44075091332707,7.317208796456086,7.745245659249066,0.42803686279297937,2913872042233.9053
2026-01-01,266.95937506196395,6.0390259259711785,7.280606144183521,1.2415802182123432,2777598610425.51
2027-01-01,279.01121384662446,8.267718514494351,7.605122597784709,-0.662595916709642,3055796532097.4717
2028-01-01,281.24176250912444,8.85578670347146,8.046354676484022,-0.8094320269874387,3154312130532.578
2029-01-01,280.7290183099752,8.194026728336105,8.159609192742387,-0.03441753559371996,3089615138557.1055
2030-01-01,283.107557971021,7.820734726178362,8.304188478847408,0.48345375266904744,3136764827286.177
2031-01-01,280.233557847648,6.701257027370497,8.212056620397673,1.5107995930271756,3077202874567.761
