,Electricity: Distribution Losses,Electricity: Exports,Electricity: Imports,Population: Growth Rate,Economics: GDP
1992-01-01,0.092,0.0,0.108,2.9528580906722035,2933222714.11506
1993-01-01,0.113,0.0,0.11,2.9528580906722035,2684323424.06801
1994-01-01,0.083,0.0,0.112,2.868165241290898,1769365425.04053
1995-01-01,0.11,0.0,0.115,2.7881951958249047,2116003977.97529
1996-01-01,0.124,0.0,0.12,2.712563627090669,2540697688.05698
1997-01-01,0.121,0.0,0.12,2.6409268071031033,2322718991.26458
1998-01-01,0.143,0.0,0.126,2.5729763840366475,1949481296.60762
1999-01-01,0.091,0.0,0.2,2.5084349452855284,2353909563.94122
2000-01-01,0.259,0.0,0.26,2.4470522319694177,3227927593.04316
2001-01-01,0.294,0.0,0.25,4.160311164858023,2796704577.3082
2002-01-01,0.378,0.0,0.4,3.994142412145216,3034251042.07329
2003-01-01,0.367,0.0,0.359,3.840737871865718,3503723244.83607
2004-01-01,0.431,0.0,0.404,3.6986812214344846,4656975222.72243
2005-01-01,0.426,0.0,0.418,3.566758205474621,6647357442.08986
2006-01-01,0.393,0.0,0.411,3.4439218406336867,8065134528.26894
2007-01-01,0.37,0.0,0.449,3.329264570942518,8771102025.00987
2008-01-01,0.354,0.0,0.436,3.2219958060930214,11602893043.0256
2009-01-01,0.379,0.0,0.44,3.1214236664689725,9684321633.21977
2010-01-01,0.466,0.0,0.281,3.026940043578897,13135580695.2473
2011-01-01,0.671,0.0,0.027,2.823426660092972,15634897272.7645
2012-01-01,0.757,0.0,0.025,2.7458982372046905,17693924573.2499
2013-01-01,0.814,0.019,0.056,2.6725137298088364,17953617927.2376
2014-01-01,0.827,0.022,0.018,2.6029495458168643,17889079957.8792
2015-01-01,1.234,0.033,0.013,2.536914930164409,11885478502.1168
2016-01-01,1.362,0.022,0.021,2.5187179650208265,10215989995.0073
2017-01-01,1.324,0.022,0.022,2.456837165950735,11090177747.1315
2018-01-01,1.384,0.026,0.028,2.397924076039303,13670036995.9959
2019-01-01,1.623,0.044,0.023,2.3417702045000977,12750339022.9512
2020-01-01,1.713,0.016,0.018,2.288186143175692,10187122341.4051
2021-01-01,1.807285714,0.016,0.018,2.352173048384704,10187122341.4051
