,Electricity: Distribution Losses,Electricity: Exports,Electricity: Imports,Electricity: Installed Capacity,Electricity: Net Consumption,Electricity: Net Generation,Population: Density,Population: Growth Rate,Economics: GDP
2022-01-01,2.8452853475655235,4.537642040405362,4.808493693976427,10.678216150631979,35.089337113094466,37.66377080681558,46.34884828579777,-0.24434629803009397,62685899080.318184
2023-01-01,2.8476556064753855,4.311488734142259,5.116546407267554,10.5446873013277,34.099678721078156,36.14227665425261,46.44279335311103,-0.17988819344738588,62553571453.51407
2024-01-01,2.990863563832942,4.532286258162971,5.359333933802236,10.330070155934063,34.3406046903826,36.50442057840864,46.43856239139216,-0.19215116438119173,66637661114.11226
2025-01-01,2.878302930475452,4.524462786257745,4.750832646675894,10.693387503114536,35.554326967066444,38.206260036871406,46.19572042390515,-0.18739443325024513,69086464701.35434
2026-01-01,2.927181395804557,4.4798135219121535,4.948748755396979,10.50882799838023,35.076402480543805,37.53464864264806,46.2962186080345,-0.18706436751061423,67605585334.584305
2027-01-01,2.89149136946164,4.486768858797617,4.8100457490961315,10.665102602788622,35.39495801310266,37.9631724920305,46.2247971600116,-0.16771730056270093,69868007390.72896
2028-01-01,2.8390633627596658,4.538986643738167,4.539113473246928,10.854760281943445,35.93079032426475,38.76972685725971,46.03211044426355,-0.16539411477171884,72549688602.08257
2029-01-01,2.8300356033909826,4.454456536886079,4.527709449162794,10.846746153639817,35.72434813148326,38.48113082235357,46.095834911489305,-0.14457693998131077,71869252385.15979
2030-01-01,2.8099743323132715,4.500510859900625,4.372296061821865,10.942685344039415,35.99344236145402,38.931631491586344,46.02902988887371,-0.1437339339929627,73084324956.11227
2031-01-01,2.7573981213270606,4.551800585311822,4.071933336321926,11.116592973618474,36.388507367644415,39.62577273768156,45.89392885056846,-0.14319858793817997,74562763659.9154
