,Electricity: Distribution Losses,Electricity: Imports,Electricity: Installed Capacity,Electricity: Net Consumption,Electricity: Net Generation,Population: Growth Rate,Economics: GDP
2022-01-01,0.6073541456308602,1.5858894222498925,0.7789932413085691,3.495849466982744,2.517314190363712,1.932187411078931,15685063768.750887
2023-01-01,0.6230994762530684,1.4508724463811782,0.8270159590681223,3.48460045075971,2.656827480631601,1.9777859454222082,15803533115.094706
2024-01-01,0.6196158471668288,1.9176620028375924,0.7727202147809518,3.6449222234388525,2.3468760677680893,1.8981582275058795,16693410502.114407
2025-01-01,0.607001900465049,1.7852512612796902,0.7691013792887673,3.5761638206402475,2.397914459825607,1.936831990084801,16228294058.91063
2026-01-01,0.5824940453911788,2.0750956513086485,0.6962334923782625,3.589863278282049,2.0972616723645796,1.8861088460691364,16246203354.916813
2027-01-01,0.6099090008176685,1.874868411719725,0.7577726678405262,3.643690996214165,2.378731585312109,1.9001954605576892,16460632622.071539
2028-01-01,0.6018739769261277,2.0458411944440966,0.7309874518666049,3.664212313431426,2.220245095913458,1.8819971972055225,16649266138.145678
2029-01-01,0.6132419614935836,1.978384546164795,0.7576391800770543,3.6950668003809266,2.3299242157097155,1.9002260563699647,16809246465.065805
2030-01-01,0.617381473904061,2.025549472186768,0.7555277753811649,3.71268036778962,2.3045123695069134,1.8811341190266786,16917790385.893179
2031-01-01,0.6235961334406691,1.967685119895146,0.7700635987186863,3.7062799401562563,2.36219095370178,1.888476700600878,16900032232.633707
