,Electricity: Distribution Losses,Electricity: Exports,Population: Growth Rate,Economics: GDP
2022-01-01,3.615939327424254,1.3360931580731827,0.7135084016360892,82020631885.82545
2023-01-01,3.5456200126116917,1.1992303628376855,0.7025171576424505,76118248893.87527
2024-01-01,3.352037382531452,1.07991055488255,0.7086350556021821,72753774509.14502
2025-01-01,3.3017928489725037,1.1124616177979005,0.7041149640669724,68287925272.708534
2026-01-01,3.18626815988842,0.9287762592254134,0.7118484088563012,66207862921.71306
2027-01-01,3.5619219645271594,1.3152113823642195,0.7015107449143607,85489153406.40092
2028-01-01,3.4359215171650055,1.1703307981132705,0.7048608967989736,79474739499.38516
2029-01-01,3.4333770665594647,1.1432406387604048,0.7036551671709295,77503840083.17764
2030-01-01,3.3131509756405064,1.0226462606003703,0.7104358179549797,73117118467.83563
2031-01-01,3.2973990516775276,1.043133020170495,0.7084772494459208,71592241429.56747
