,Electricity: Distribution Losses,Electricity: Exports,Electricity: Imports,Electricity: Installed Capacity,Electricity: Net Consumption,Electricity: Net Generation,Population: Percentage,Economics: GDP
2022-01-01,9.550767320535098,27.745758864408238,12.253108555968396,44.17259914624168,130.58173189987056,155.6251495288455,0.13733407342391696,540736220313.1318
2023-01-01,9.63228294999485,26.538045171794955,12.778593465007503,43.82075015402661,131.02210278251837,154.41383743930066,0.13738175342213127,541426566926.50116
2024-01-01,9.502698302438677,27.890800277150078,12.009967042645439,44.254538316563504,130.40518408027344,155.78871561721675,0.13721338409232425,546772882885.2484
2025-01-01,9.573254411336334,27.268080635371092,12.35083894626877,43.9808620354606,130.70027706046952,155.19077316090818,0.13742672578299178,540523208100.17084
2026-01-01,9.688325429850314,26.806433653823667,12.721592984538797,43.614164375973544,131.0208425295848,154.79400862871998,0.13787527214399212,525811792507.9079
2027-01-01,9.566639050783367,27.3123801727768,12.21255418970548,43.892333595635236,130.63677269455354,155.30323772840822,0.13759173198603158,537400832422.32227
2028-01-01,9.571980900370349,27.15633066973264,12.250649202442332,43.846076898580634,130.6753057625264,155.15296813018705,0.137593206056658,538079124141.6315
2029-01-01,9.542462860997585,27.564536163651102,12.112264684846123,44.02769114338643,130.5321100372033,155.52684437700586,0.1374605465481158,540711393104.6311
2030-01-01,9.570532982281087,27.29183980432746,12.183962099838038,43.84632923022778,130.6288646188774,155.30727530564792,0.13765287097334514,536249870112.2976
2031-01-01,9.64400146871251,26.72639626802895,12.347768395874699,43.433047695216395,130.8417806802028,154.86441002106955,0.13810503648042538,525313008067.0214
