,Electricity: Distribution Losses,Electricity: Installed Capacity,Population: Growth Rate,Economics: GDP
1992-01-01,1.013,6.968,1.5053471170178936,19858555214.7239
1993-01-01,1.09,6.988,1.5053471170178936,23941391390.7285
1994-01-01,1.85,6.988,1.4830224808575905,24848483838.3838
1995-01-01,2.61,6.988,1.4613503269843269,27191353887.3995
1996-01-01,2.802,6.988,1.4403024622427785,31493319973.2799
1997-01-01,2.94,6.992,1.4198522946822594,30355093966.3699
1998-01-01,3.298,7.59,1.3999747214744205,25939960629.9213
1999-01-01,3.473,8.465,1.3806460261157711,30123850197.1091
2000-01-01,3.556,9.365,1.3618437840296609,37712842242.5033
2001-01-01,3.773,9.392,5.211920403162746,34887512226.9319
2002-01-01,4.0,9.281,4.953735644393838,38137545245.1464
2003-01-01,4.378,9.856,4.7199231299190485,47876510067.1141
2004-01-01,4.538,9.856,4.507187351602,59439090600.6108
2005-01-01,4.967,10.858,4.312801316179436,80798630136.9863
2006-01-01,5.437,10.858,4.13448901933621,101548931771.192
2007-01-01,5.951,10.944,3.9703359168243457,114639690358.902
2008-01-01,6.514,11.641,3.8187199087253023,147395089285.714
2009-01-01,6.615,12.579,3.6782575551717662,105963168867.269
2010-01-01,6.471,13.383,3.5477617408977027,115419399860.433
2011-01-01,6.865,14.703,6.559770547633378,154068115942.029
2012-01-01,7.283,15.349,6.155954084661894,174070382279.385
2013-01-01,7.727,15.7215,5.798972029164176,174161142454.161
2014-01-01,5.754,15.7234,5.481123226382235,162631412508.784
2015-01-01,6.041,18.2644,5.196307224202305,114567298105.683
2016-01-01,6.192,18.9034,2.3112340719254294,109419728566.7
2017-01-01,6.487,18.807409,2.2590227680184225,120707435542.367
2018-01-01,6.579,18.918469,2.2091182830322778,138182400331.126
2019-01-01,6.701,19.3714,2.1613710402186315,136196760210.804
2020-01-01,6.636,19.3714,2.1156441208759422,105960225688.145
2021-01-01,6.64221892,19.3714,-1.0500192182264008,105960225688.145
