,Electricity: Distribution Losses,Electricity: Exports,Electricity: Imports,Economics: GDP
1992-01-01,0.312,0.0,0.932,33711069430.78
1993-01-01,0.42,0.0,1.3,31655473663.8348
1994-01-01,1.149,0.0,1.15,35604137422.5796
1995-01-01,0.905,0.0,0.243,39030285468.3841
1996-01-01,0.997,0.0,0.25,43161452678.4383
1997-01-01,1.172,0.0,0.124,39147844526.0838
1998-01-01,1.163,0.0,0.705,41806219378.6181
1999-01-01,1.81,0.0,1.8,41632027599.8531
2000-01-01,1.081,0.0,2.0,38857251336.3448
2001-01-01,1.298,0.0,1.45,39459581217.3759
2002-01-01,1.656,0.0,1.35,42236836820.6152
2003-01-01,1.543,0.0,1.417,52064058833.9739
2004-01-01,1.597,0.0,1.512,59626020162.3816
2005-01-01,1.216,0.0,0.802,62343022650.8742
2006-01-01,1.266,0.0,1.998,68640825480.9223
2007-01-01,1.415,0.0,3.455,79041294874.4553
2008-01-01,2.018,0.0,4.261,92507257783.5697
2009-01-01,2.287,0.0,4.623,92897320375.8176
2010-01-01,2.678,0.643,4.583,93216746661.5977
2011-01-01,2.674,0.524,5.131,101370474295.109
2012-01-01,3.214,0.818,5.66,98266306615.3632
2013-01-01,4.915,0.151,5.551,106825649872.108
2014-01-01,5.197,0.128,6.138,110081248587.369
2015-01-01,5.515,0.165,5.138,101179808076.36
2016-01-01,5.653,0.135,5.289,103311649248.024
2017-01-01,6.066,0.161,6.058,109682728023.112
2018-01-01,6.114238,0.35,3.724,118096227400.092
2019-01-01,6.677815,1.453,0.526,119870439113.662
2020-01-01,6.770615,0.624,0.856,114725065285.149
2021-01-01,6.739186637,0.851,1.825306484,114725065285.149
