,Electricity: Distribution Losses,Population: Growth Rate,Economics: GDP
2022-01-01,0.034133691659775416,3.3873615964298214,10739794004.475313
2023-01-01,0.03534052533184173,3.37914723694235,11219969876.090748
2024-01-01,0.0348083891057184,3.3863796808986235,11197671000.274279
2025-01-01,0.030821624708768845,3.4271232461504972,10123100120.995897
2026-01-01,0.031460024819293164,3.4163733640474017,10152883562.611553
2027-01-01,0.03344030265601637,3.3986140569618297,10727790852.095776
2028-01-01,0.034876518013940094,3.3858092367590027,11163863015.284576
2029-01-01,0.034724527074944965,3.3886311809898415,11158605690.91584
2030-01-01,0.03146580615903955,3.417098277786581,10187070419.163002
2031-01-01,0.031601310920036096,3.4154415557039375,10206865036.536205
