,Electricity: Distribution Losses,Electricity: Exports,Population: Growth Rate,Population: Percentage,Economics: GDP
2022-01-01,0.8953273240031809,0.03533541382091075,1.976570018732171,0.0427592055161272,12863313761.980743
2023-01-01,0.9667394803768565,0.03928661193151553,2.037535843246253,0.04350774339210552,13254204464.035751
2024-01-01,0.9641040069939829,0.04047597928320072,1.950759287610866,0.04381152780017727,11998848020.341892
2025-01-01,0.9208155550709448,0.0396312239356347,1.815653804193699,0.04374260185063481,10320973242.888374
2026-01-01,0.9080561521360488,0.03911289508792032,1.7928818072379666,0.04365543364679924,10076735776.466862
2027-01-01,0.9598930188451373,0.04059459520562947,1.924905077229126,0.04385466171563276,11649011868.808575
2028-01-01,0.9811124552172589,0.04160038857807471,1.9536729699679585,0.04403531663048102,11921549828.821426
2029-01-01,0.9472541212572523,0.04084286104929086,1.854127282429833,0.04395737963668957,10699153120.374573
2030-01-01,0.8886522556545902,0.0388678395351391,1.723863246046455,0.04365769970641937,9200462812.971102
2031-01-01,0.8680722352608206,0.03771142041514528,1.7074166000661681,0.04343757862291295,9104298361.578959
