,Electricity: Distribution Losses,Electricity: Imports,Population: Growth Rate,Economics: GDP
2022-01-01,337.2702275018887,5.505660674625714,0.3591333771815928,14702034288641.273
2023-01-01,351.82325784061146,6.154188793935495,0.33441367407373596,14959384411291.43
2024-01-01,357.70536472187894,6.417065872462389,0.3454944393857545,14984449702589.324
2025-01-01,349.4129006255869,6.551574216800451,0.3838654216896926,14026784321466.152
2026-01-01,338.5494700563633,6.4880590748516855,0.41754647819616436,13169281728290.758
2027-01-01,355.880750698111,6.118226497636076,0.34195222223310184,15285220570361.117
2028-01-01,369.7035223368241,6.5500648276707825,0.3163476551782197,15797261708305.375
2029-01-01,377.6510088358532,6.780334280430026,0.3143750484080922,16075325035287.973
2030-01-01,374.6432422092481,6.91947759947615,0.3359586920146672,15572867086447.656
2031-01-01,366.9316751796812,6.887253689751875,0.360509731292827,14943954579570.049
