,Electricity: Distribution Losses,Electricity: Installed Capacity,Population: Growth Rate,Economics: GDP
2022-01-01,0.10635004389868846,0.3904256255551486,0.3425578151810027,4488116783.093384
2023-01-01,0.11198184030850686,0.3710930112314759,0.18691321914131764,4110102680.535088
2024-01-01,0.0657593480044307,0.341073426771155,-0.12238432102979124,3270844756.3964663
2025-01-01,0.06211135058066819,0.3503554971554093,0.10389741979505057,3122307412.2340927
2026-01-01,0.11619774376947146,0.3050281731131777,0.39748373052965397,2481748831.4517455
2027-01-01,0.12030167326439078,0.2631284632007761,0.5616709207654158,1937373404.4691672
2028-01-01,0.09104299364375701,0.2685280005110389,0.2598022447148898,1708307823.329592
2029-01-01,0.07870773499852542,0.2567806815941737,0.176141368941566,1672772693.3299284
2030-01-01,0.10039297539119424,0.2018488259649447,0.5229037574306287,909342158.4451017
2031-01-01,0.09833484630175936,0.18636094473626158,0.7300204323711477,757157149.8014336
