,Electricity: Distribution Losses,Electricity: Exports,Electricity: Imports,Electricity: Installed Capacity,Electricity: Net Consumption,Population: Growth Rate,Economics: GDP
2022-01-01,7.018725493461957,1.7440709187235828,1.6855071766445118,24.940984081529184,85.54105684215276,0.7592770093993857,167110283081.5076
2023-01-01,7.64179232983692,3.2108393780445477,1.8778476214423092,25.046367802487254,86.16549366815745,1.0771823207818596,174018887217.28665
2024-01-01,7.4207329640672235,4.144832534354762,1.9527024283560208,25.30708946029565,91.30384841139815,1.428488184912592,181107901699.65826
2025-01-01,7.393643676072138,3.8896069849441126,1.6936277909744697,24.83348179607903,89.00115193100956,1.1803855643676573,177109593054.1374
2026-01-01,7.049613975739312,2.9810051832165096,1.7918781852930838,24.24765861126155,82.29833294262659,0.786204137824844,142612264404.17444
2027-01-01,7.189949703580387,2.6649106868240593,1.7975112538255351,24.83663357502079,83.36297528291374,0.8898081171640579,157444715246.70923
2028-01-01,7.169328658764586,2.753585596312555,1.759219472414837,25.073705055768578,84.54788212209287,0.9887326962292585,161212143567.27988
2029-01-01,7.204007227200063,2.8358083469242388,1.7753613555947796,25.06595957897323,86.06345929740712,1.1024834487208732,171575106789.08942
2030-01-01,7.24029085266088,2.8358282910589603,1.7921643510770626,24.678597752205732,85.34692857317827,1.0884120292760266,173329362182.28766
2031-01-01,7.056991947439474,2.934032022480599,1.8315144346160823,24.27753506063218,81.89920256390425,0.8490060419688963,143259112098.75012
