,Electricity: Distribution Losses,Electricity: Exports,Electricity: Installed Capacity,Electricity: Net Consumption,Electricity: Net Generation,Electricity: Net Imports,Population: Growth Rate,Economics: GDP
2022-01-01,2.5954575773633533,1.3930340981179474,6.495722297551126,15.164842203081081,18.960214109460473,-1.1999143280242062,2.167130825835935,8430774258.080479
2023-01-01,2.5381946541189433,1.7558027795549194,6.762157777989567,14.855016275765673,19.091523229010562,-1.698312298783153,2.024993905918584,8175473512.078808
2024-01-01,2.671968702091438,2.4826041701905757,6.292647117522408,14.1960510425737,18.858222104001268,-1.9902023592910982,1.9400878248733546,8420178792.86986
2025-01-01,2.64881509526098,1.8083130271523544,5.910201023646775,13.349645389814517,17.828864608463554,-1.830404123497527,2.032345669472251,8254164398.37282
2026-01-01,2.749352116337966,1.9910433232994191,6.157522105704253,14.649460024257875,18.626942603140833,-1.2281304617200073,2.1286316953728757,8627518643.364923
2027-01-01,2.508636141288357,1.132021181511496,6.248169555459201,14.447088585297317,18.160277879757796,-1.2045531524343507,2.095959490007115,8775082099.914701
2028-01-01,2.5506485178257643,1.4809833826787142,6.513257614196307,14.281078150549373,18.28441292911925,-1.4526862601129094,2.0524916265346262,8230493411.441094
2029-01-01,2.461742434063675,1.804956884642656,6.336091550722669,14.043134230769967,18.268289476051024,-1.7634128110555274,1.9740120660595555,7965048527.083193
2030-01-01,2.6420694132972242,1.732775035059663,6.377014991957506,14.144182897616572,18.200806860893383,-1.414554549300747,2.0026278104118944,8719501559.414965
2031-01-01,2.558548585799888,1.8105101021587386,6.245453475025327,14.145769376578135,18.302781579606126,-1.5984636166337012,2.0319579005296666,8815677740.396294
