,Electricity: Distribution Losses,Population: Growth Rate,Economics: GDP
1992-01-01,0.27,3.5830507943556777,3390500000.0
1993-01-01,0.27,3.5830507943556777,3390500000.0
1994-01-01,0.271,3.459109156254872,3390500000.0
1995-01-01,0.273,3.343455384900483,5561222222.22222
1996-01-01,0.292,3.235285071945635,7526963963.96396
1997-01-01,0.115,3.133894646283909,7649716157.20524
1998-01-01,0.192,3.0386660535143624,6506619144.60285
1999-01-01,0.194,2.9490541462718545,6152936539.21955
2000-01-01,0.211,2.864576241838789,9129634978.33773
2001-01-01,0.238,4.251614395504913,8936063723.20121
2002-01-01,0.258,4.07822403533756,15285594828.418
2003-01-01,0.288,3.918422007232621,17812705294.325
2004-01-01,0.59,3.7706711972203775,23552052407.5488
2005-01-01,0.662,3.63365790518408,36970918699.2523
2006-01-01,0.39,3.506252677589134,52381006892.038
2007-01-01,0.431,3.3874791009106806,65266452081.386
2008-01-01,0.416,3.276488729940243,88538611205.1433
2009-01-01,0.474,3.172540788550642,70307163678.238
2010-01-01,0.627,3.0749856156520163,83799496611.2004
2011-01-01,0.637,4.077639344150028,111789686464.441
2012-01-01,0.699,3.9178822366124537,128052853643.106
2013-01-01,0.926,3.770171362510808,136709862831.194
2014-01-01,1.068,3.633193732850333,145712200312.505
2015-01-01,1.078,3.505820482784812,116193649124.151
2016-01-01,1.167,3.769067533057515,101123851090.455
2017-01-01,1.207373,3.6321686439524097,122123822333.59
2018-01-01,1.447861,3.5048660000847693,101353230784.594
2019-01-01,1.741409,3.3861847616728578,89417190341.2533
2020-01-01,1.845236,3.275277803778845,58375976292.9678
2021-01-01,1.868901294,3.2315284404901985,58375976292.9678
