,Electricity: Distribution Losses,Population: Growth Rate,Economics: GDP
1992-01-01,0.00553,3.852181361836663,1881847676.80752
1993-01-01,0.00567,3.852181361836663,1463251055.40068
1994-01-01,0.0056,3.709292680540881,1179837954.72193
1995-01-01,0.00588,3.5766251843667822,1445919969.89272
1996-01-01,0.00595,3.4531200239439888,1607345450.04578
1997-01-01,0.00595,3.33785972152872,1544689502.82472
1998-01-01,0.00602,3.230045339165608,1744794457.276
1999-01-01,0.00602,3.128977933268535,1534673583.2487
2000-01-01,0.00665,3.034043385258018,1388506726.62093
2001-01-01,0.007,4.40190058598132,1710843360.64955
2002-01-01,0.00749,4.2163031144783485,1997005786.54118
2003-01-01,0.00805,4.045723162763576,2742815194.54993
2004-01-01,0.00854,3.888408903107591,4422855929.21428
2005-01-01,0.00903,3.74287078237395,6649307057.03314
2006-01-01,0.0091,3.6078342098567298,7428701809.40597
2007-01-01,0.00903,3.48220213014886,8650138068.63161
2008-01-01,0.0105,3.36502515260481,10393834720.852
2009-01-01,0.01464,3.2554775153750457,9290728773.35723
2010-01-01,0.016,3.152837596330224,10668102734.8132
2011-01-01,0.01744,3.7757016197177142,12172309522.6171
2012-01-01,0.03525,3.638329166449422,12367363677.6199
2013-01-01,0.04035,3.510601913126205,12953535495.8781
2014-01-01,0.0429,3.391538497740142,13940768065.6063
2015-01-01,0.0435,3.2802863242181775,10950392219.9104
2016-01-01,0.0441,3.5422609208279865,10097778353.7651
2017-01-01,0.04485,3.4210774318869883,10000395242.1457
2018-01-01,0.04545,3.3079112274188915,11239167048.4916
2019-01-01,0.0462,3.2019921689607767,11314951342.7807
2020-01-01,0.0462,3.1026456967211664,10829076801.729
2021-01-01,0.04885,3.2401122735698284,10829076801.729
