,Electricity: Distribution Losses,Electricity: Installed Capacity,Population: Growth Rate,Population: Percentage,Economics: GDP
2022-01-01,0.5769199576444481,3.0234301960207164,0.7930157890282785,0.004821720870062395,21381683461.20735
2023-01-01,0.5740660339644454,2.902323832224943,1.593696755384105,0.004800771434452853,19587527653.54075
2024-01-01,0.638633152082744,3.1427922541504723,1.259049348360304,0.004756227843404547,23345177334.59406
2025-01-01,0.5705440711043588,3.037621434088973,1.5291423063341232,0.00472436980848537,23913641199.379738
2026-01-01,0.5355920369869432,2.758910279515165,1.0742156001748056,0.004856745324834795,19304098780.666225
2027-01-01,0.5257948881667185,2.930822014584682,0.7281756050658351,0.004751864023417723,14917570052.736835
2028-01-01,0.5217087809950022,2.736519736455582,1.4983798730254656,0.004781500761819415,17336674472.705956
2029-01-01,0.5972339215882061,3.1645125302564354,0.9539645020888086,0.004721402515521789,20057637165.301674
2030-01-01,0.5257452212616135,2.8492973201520595,1.3187020657458561,0.004868923367745635,17683594359.62164
2031-01-01,0.5434903881042217,2.7647309581119988,0.8071578757303064,0.00472346584714143,17040643639.489042
